idUsuario,nombre,username,idUniversidad,facultad,curso,clase,edad
69,Remedios Marí Lozano,['enviousLocust1'],18,Ciencias Exactas,6,A,38
70,Coral Tejada-Maza,['wakefulCardinal4'],70,Arquitectura,5,A,44
71,Marina Alberola Vazquez,['grudgingCoconut9'],37,Ciencias de la Salud,6,D,47
72,Perlita Román Frutos,['gloomyWasp7'],91,Veterinaria,5,A,21
73,Prudencia León,['dreadfulZebra3'],38,Química,5,A,41
74,Ariel Romeu-Torralba,['drearyQuiche8'],38,Ciencias de la Salud,5,A,37
75,Ramiro Paz Río,['brainyIcecream0'],78,Agronomía,5,B,48
76,Petrona Cobos Mate,['superiorCaviar2'],3,Psicología,5,D,47
77,Ale del Iborra,['relievedWildfowl8'],36,Ingeniería,3,D,29
78,Florentino Borrego,['pluckyCur7'],87,Ingeniería,6,D,31
79,Ignacia Cid,['cynicalSalt7'],64,Filosofía,6,D,42
80,Rita Jordán Solís,['thriftyRice9'],81,Medicina,4,C,16
81,Ruth Baena Fuertes,['affectedSwift0'],91,Diseño,2,B,50
82,Rosalía Sarabia Piña,['kindHyena1'],78,Ciencias Exactas,1,B,43
83,Aránzazu Sebastián Saura,['pitifulHoopoe6'],17,Comunicación,5,A,33
84,Américo Alvarez Delgado,['giddyRice8'],91,Agronomía,2,A,18
85,Onofre de Guzman,['murkyBoa9'],14,Medicina,6,D,42
86,Amalia Candelaria Ayala Almeida,['blissfulWasp9'],91,Ingeniería,3,B,19
87,Rómulo Lopez Molina,['cruelThrush9'],90,Arquitectura,1,C,34
88,Antonio Roselló Cerdá,['cautiousPlover6'],25,Educación Física,3,C,48
89,Álvaro Eustaquio Mendez Abad,['murkySnipe0'],52,Química,1,B,35
90,Martin Angulo Goñi,['dreadfulFalcon8'],43,Ciencias de la Educación,3,B,46
91,Belen Castillo Mateos,['guiltyLemur6'],70,Química,5,A,19
92,Candelaria Mate Conesa,['debonairGatorade9'],6,Información,4,C,29
93,Dani Amando Ortuño Páez,['exactingTortoise4'],76,Ciencias de la Educación,6,D,17
94,Hilda Aller-Montalbán,['dopeyOcelot4'],87,Ciencias de la Educación,2,B,16
95,Ana de Franch,['pacifiedOcelot3'],9,Ingeniería,4,B,49
96,Alberto Pujadas Solana,['blissfulPup1'],16,Odontología,6,C,40
97,María Cristina Duque-Valverde,['humorousWildfowl0'],65,Química,5,D,23
98,Haroldo Cornelio Murillo Navarro,['mercifulFerret5'],15,Humanidades,6,A,27
99,Francisca Isern Dueñas,['blissfulOcelot5'],37,Ciencias de la Educación,2,B,21
100,Gustavo Abella Cardona,['similarTeal6'],76,Ciencias Físicas y Matemáticas,4,B,32
101,Roxana Peláez Serrano,['dopeyDinosaur6'],89,Humanidades,4,B,26
102,Bautista Briones Acosta,['crushedCow3'],51,Ciencias de la Educación,1,D,25
103,Alondra Losada,['murkySeahorse3'],74,Química,6,D,38
104,María Carmen Martínez Arranz,['curiousGelding4'],37,Medicina,3,C,46
105,Antonia Peralta Viña,['peskyCoconut3'],56,Comunicación,2,B,47
106,Juan Wilfredo Yáñez Vendrell,['dejectedMeerkat9'],43,Química,4,D,28
107,Victoriano Peralta Velázquez,['curiousWasp0'],21,Veterinaria,2,A,40
108,Vicente Esteban Barceló,['spiritedPretzels5'],6,Agronomía,3,C,29
109,Joaquín Céspedes Morillo,['lazyDoves0'],60,Psicología,4,A,31
110,Yolanda Carvajal,['importedWildfowl5'],70,Derecho,4,D,29
111,Emiliano Camino Ropero,['boastfulMeerkat3'],45,Derecho,2,D,40
112,Marcia Nieto,['obsessedMussel8'],47,Ciencias Sociales,4,D,31
113,Rodolfo Quintana Olmo,['excludedDoves7'],40,Filosofía,5,D,28
114,Celestina Campos Gras,['cheerfulLizard8'],17,Química,3,D,32
115,Julio César Nicolás Borrego,['chicCockatoo4'],12,Ciencias Económicas,5,D,29
116,Florentina Chacón Solana,['morbidJaguar3'],15,Arquitectura,1,D,36
117,Matías Catalá-Viña,['selfishDingo1'],19,Diseño,1,B,36
118,Guiomar Talavera Solé,['adoringRelish6'],9,Humanidades,4,D,18
119,Modesto Arribas Durán,['goofyFalcon8'],75,Derecho,4,D,30
120,Ciríaco Pinedo,['cockyHawk1'],74,Ingeniería,4,A,32
121,Brígida del Barrio,['goofySnail0'],91,Humanidades,6,B,36
122,Olalla del Amaya,['guiltyHoopoe3'],29,Ciencias de la Educación,5,D,45
123,Merche Mendoza Tur,['sadSwift9'],1,Ciencias Económicas,5,B,30
124,Wilfredo Balaguer Novoa,['resolvedRuffs4'],9,Arquitectura,1,C,16
125,Manu Borrell Urrutia,['relievedRhino0'],51,Agronomía,3,C,27
126,Feliciana Aragón Polo,['decimalClam2'],32,Ciencias de la Educación,3,D,41
127,Severiano de Valencia,['mercifulLeopard1'],22,Psicología,2,B,19
128,Otilia Puig Infante,['dreadfulHawk1'],45,Odontología,2,D,50
129,Bernabé Camps,['goofyToucan3'],70,Ciencias Exactas,2,A,40
130,Eric Arteaga Pombo,['peskyPudding8'],46,Filosofía,4,D,44
131,Nacho Iglesias Higueras,['mellowBustard4'],29,Ingeniería,2,A,46
132,Herminia Morante Uriarte,['solemnWeaver0'],29,Comunicación,5,A,29
133,Erasmo Carnero Calzada,['grudgingAbalone5'],82,Humanidades,2,B,42
134,Flor Gordillo,['humorousCheese9'],49,Ciencias Exactas,3,D,30
135,Ileana Ibáñez Casas,['crushedStork5'],8,Arquitectura,2,C,48
136,Angelino del Jimenez,['jumpyMacaw1'],59,Educación Física,5,A,27
137,Omar Carvajal Ruano,['lyingEland9'],16,Ciencias Sociales,1,D,50
138,Rodrigo del Puig,['dopeyHeron0'],78,Derecho,2,D,19
139,Reyes Agustí Salvador,['grumpyLapwing7'],48,Ciencias Físicas y Matemáticas,3,C,23
140,Noelia Vázquez Prado,['sugaryTacos7'],70,Ciencias Sociales,3,C,20
141,Jacinto Riera Guzmán,['excitedCake5'],90,Odontología,4,A,50
142,Rosenda de Delgado,['thriftyVenison5'],62,Ciencias Exactas,3,C,38
143,Alejandro Felipe Tena Coronado,['innocentPiglet0'],3,Ciencias de la Educación,5,B,28
144,Mamen Chaparro Leon,['grudgingCardinal9'],83,Diseño,3,A,26
145,Cándida Sureda,['boredMare3'],7,Humanidades,4,B,43
146,Antonia Puga Azorin,['scornfulBuzzard4'],44,Información,5,B,34
147,Olalla Bastida Macías,['jubilantDunbird9'],30,Filosofía,4,A,43
148,Trinidad Garay Mosquera,['peacefulWeaver3'],39,Ciencias de la Educación,6,C,18
149,Lázaro Ordóñez Sanmartín,['abjectTacos9'],58,Ciencias Económicas,2,D,41
150,Alejo de Sáez,['lyingCaribou2'],56,Ciencias Exactas,5,C,49
151,Hernán Ruperto Parra Cazorla,['sugaryCardinal7'],13,Agronomía,6,D,49
152,Juan Bautista Guerra-Martínez,['murkyCamel6'],43,Agronomía,5,D,32
153,Celia de Berrocal,['aboardRhino6'],12,Medicina,5,B,48
154,Gil Adán Pérez Menendez,['goofyCrackers1'],7,Ingeniería,3,B,40
155,Cruz Garcés Marí,['aloofFlamingo0'],47,Ciencias Físicas y Matemáticas,5,C,26
156,Pacífica Zaida Mosquera Ramón,['blissfulMackerel8'],26,Veterinaria,4,B,43
157,Bárbara Llorente-Alberto,['gloomySausage0'],2,Arquitectura,1,D,36
158,Daniel Villanueva Nicolás,['somberBoars9'],49,Agronomía,1,B,42
159,Serafina Úrsula Rosselló Jódar,['peacefulSausage1'],91,Derecho,4,A,38
160,Lucía Macías Viñas,['annoyedCheetah1'],49,Química,6,B,24
161,Pascual Vera Palmer,['finickyCheese2'],91,Comunicación,6,A,20
162,Severino Correa Daza,['morbidDinosaur8'],4,Ciencias Sociales,2,A,35
163,José Ángel Jose Angel Marcos Falcó,['affectedTruffle4'],63,Ciencias Sociales,4,B,25
164,Dani Revilla Dalmau,['selfishChough6'],55,Ciencias de la Educación,2,D,22
165,Lilia Milagros Dalmau Millán,['mildSeafowl9'],45,Humanidades,1,C,32
166,Matilde Eusebia Mulet Blasco,['gleefulRat0'],74,Diseño,6,B,24
167,Ricardo Llorente Antón,['excludedHawk5'],89,Ciencias de la Salud,4,C,30
168,Lourdes Llamas Badía,['stressedMagpie9'],77,Odontología,6,A,16
169,Ricardo Acuña Portero,['zestySmelt1'],77,Diseño,6,A,39
170,María López Solera,['importedClam2'],83,Ciencias Económicas,2,A,33
171,Luciano Bejarano Contreras,['gleefulHeron8'],57,Agronomía,1,C,16
172,Severiano Campoy Bautista,['worriedWhiting0'],2,Agronomía,4,A,41
173,Teodoro Rozas Coll,['bubblyUnicorn0'],56,Agronomía,6,C,19
174,Cayetana Arévalo,['annoyedBoars6'],59,Ciencias de la Educación,3,C,37
175,Florencia Posada Lucas,['boastfulTruffle2'],18,Arquitectura,4,D,18
176,Ulises Adadia Guardiola,['unhappySheep8'],1,Arquitectura,1,A,17
177,Morena Sarabia-Agustí,['needfulPoultry5'],79,Ciencias Económicas,5,C,25
178,Julia Petrona Arellano Martínez,['boastfulBass6'],45,Información,5,A,50
179,Bibiana Carmela Busquets Alcaraz,['sincereKitten0'],22,Ciencias Exactas,5,D,17
180,Haydée Batlle Cuevas,['mellowCordial1'],39,Ciencias de la Salud,3,B,35
181,Marc Terrón Oller,['lyingMacaw2'],64,Matemática,6,C,19
182,Gerardo Iglesia Tormo,['relievedTermite3'],35,Ciencias Exactas,3,D,22
183,Isidro Galvez Pascual,['holisticMeerkat3'],38,Psicología,2,D,50
184,Yolanda Ágata Manjón Lladó,['selfishApricots2'],70,Ciencias Físicas y Matemáticas,1,D,42
185,Belen Perales Cabello,['thrilledChough2'],52,Ciencias de la Educación,6,D,18
186,Paco Carrillo Cazorla,['gloomyFalcon9'],64,Ciencias de la Salud,4,A,29
187,Leonardo Ramos Pardo,['grumpyWidgeon4'],1,Agronomía,2,B,35
188,Adela Alcalá Tejero,['holisticBagels9'],88,Derecho,2,C,18
189,Baldomero Matas Galán,['pitifulThrush9'],34,Agronomía,2,A,16
190,Gerónimo Mateo Salgado,['lyingHoopoe1'],26,Filosofía,6,D,47
191,Herberto García Lobato,['excitedCake5'],75,Derecho,4,B,35
192,Benito Montalbán-Campo,['excitedStork5'],67,Química,5,B,34
193,Guillermo de Cortes,['pitifulPoultry3'],25,Arquitectura,4,B,38
194,Sebastián Alcides Francisco Roig,['crushedPlover0'],22,Medicina,3,C,41
195,Bernabé Estévez Soriano,['truthfulBoars1'],59,Odontología,4,D,36
196,Carolina Sedano,['worriedPup8'],18,Ciencias Económicas,6,C,30
197,Marcelino Calderon Tudela,['wakefulLard7'],25,Odontología,1,B,22
198,Amalia Córdoba Iglesia,['bubblyFish3'],12,Derecho,5,B,40
199,Blas Quevedo Guzman,['excitedTeal3'],71,Química,6,D,23
200,Rebeca Rocamora Segura,['artisticTacos2'],71,Veterinaria,5,A,25
201,Ángeles Perelló-Nogueira,['ferventOtter8'],54,Psicología,6,A,18
202,Luciano Busquets Aparicio,['hushedSausage1'],17,Diseño,6,C,26
203,Sebastián Querol Cerezo,['pleasedLard2'],9,Veterinaria,4,A,25
204,Anabel Ileana Ropero Terrón,['chicShads5'],51,Medicina,6,A,32
205,Juan Pablo Ferrera Cifuentes,['giddyIguana3'],39,Humanidades,5,A,35
206,Kike del Cazorla,['awedWasp1'],25,Humanidades,3,C,16
207,Adelaida Ferrando Marti,['shyLocust4'],4,Derecho,5,C,29
208,Roldán Arévalo Blazquez,['mereIcecream6'],18,Veterinaria,4,D,20
209,Amalia Menendez Sanabria,['ashamedBagels5'],25,Matemática,2,D,47
210,Eloísa Arnal Albero,['needyViper7'],7,Odontología,2,B,21
211,Tito de Peña,['gloomyCamel1'],3,Humanidades,5,B,50
212,Godofredo Amo Fernández,['gutturalWhiting1'],39,Agronomía,2,D,16
213,Hernando Bravo Exposito,['murkyOryx5'],46,Educación Física,3,C,29
214,Eladio Ferreras-Goicoechea,['decimalTacos4'],7,Odontología,6,B,36
215,Encarnita Oliva Rivas,['betrayedPoultry0'],32,Ciencias de la Educación,1,B,33
216,Lola Rosales,['solemnThrush2'],8,Arquitectura,4,C,24
217,Caridad Teruel,['unhappyTeal7'],60,Ciencias de la Educación,6,B,49
218,Edu del Aroca,['sheepishZebra1'],19,Psicología,6,D,30
219,Berta Lucena Roselló,['debonairJerky1'],61,Química,4,C,19
220,Fito Téllez Villar,['gloomyGnu4'],22,Ciencias de la Educación,3,C,29
221,Inmaculada Águila-Rivera,['somberOryx9'],27,Ciencias Físicas y Matemáticas,3,D,32
222,Teófilo Barranco Navarro,['dopeyGatorade8'],24,Matemática,3,D,36
223,Ale Pineda Tomás,['soreJaguar2'],48,Psicología,1,C,35
224,José Mari Catalá Gual,['solidWasp2'],55,Ciencias Económicas,1,B,35
225,Adelia Yáñez Guzman,['puzzledPudding0'],39,Ciencias Económicas,3,B,35
226,Carlota Falcón Galván,['needfulPonie2'],46,Psicología,5,C,41
227,Anita Villalonga-Ripoll,['blissfulCaviar5'],63,Ciencias Exactas,1,B,30
228,Xavier Tenorio Tena,['joyfulRice5'],80,Ciencias Sociales,1,B,35
229,Bruno Valbuena Iñiguez,['forsakenRat8'],36,Ciencias Sociales,2,B,33
230,Rebeca de Estrada,['excitedHawk8'],40,Educación Física,5,D,45
231,Rogelio de Feijoo,['decimalCoati6'],38,Agronomía,2,C,35
232,Nicolás Segarra Bustamante,['blissfulLion2'],83,Diseño,4,C,30
233,Dionisio Barrios Royo,['unhappyApricots2'],75,Veterinaria,6,D,34
234,Otilia Olivera Fernández,['thrilledJaguar2'],76,Ciencias de la Salud,2,A,43
235,Gabriel Calzada,['holisticCordial2'],29,Derecho,1,D,27
236,Vicenta Marí Pi,['cynicalSnail4'],44,Matemática,1,C,29
237,Severo Guiomar Mendoza Ropero,['culturedBasmati4'],65,Odontología,5,D,36
238,Aránzazu López Sarabia,['mereCockatoo6'],27,Ciencias Exactas,2,D,28
239,Evaristo González Perales,['pleasedDoves6'],30,Matemática,2,D,32
240,Narciso Rincón Carmona,['pridefulThrushe1'],71,Humanidades,4,B,39
241,Carla Larrea Acuña,['pluckyBasmati6'],53,Derecho,2,C,27
242,Delfina Infante Sebastián,['wrathfulBittern8'],50,Medicina,2,C,33
243,Blanca Ferrer Barros,['fondBuck2'],2,Educación Física,5,D,40
244,Danilo de Perez,['debonairLemur3'],64,Comunicación,4,C,17
245,Erasmo Garzón Manjón,['thrilledDotterel9'],66,Ciencias Físicas y Matemáticas,1,A,41
246,Inés Mascaró Piñol,['fondChowder0'],50,Psicología,3,C,48
247,Angélica Bueno Niño,['cynicalBoa2'],82,Química,4,C,24
248,Manolo Peralta,['ecstaticHyena5'],25,Educación Física,6,B,28
249,Coral Alcaraz Fuente,['finickyBuzzard5'],57,Psicología,3,A,50
250,Eduardo Barón,['resolvedBasmati2'],3,Matemática,4,B,31
251,Adelina Mateos Pomares,['somberHeron3'],72,Medicina,1,A,39
252,Lupe Ayuso Tirado,['mercifulDoves4'],64,Diseño,5,B,18
253,Marciano Nogueira Arellano,['betrayedApricots5'],63,Medicina,6,C,27
254,Rico Lobo Chaparro,['annoyedWasp8'],67,Educación Física,4,D,37
255,Estela Pascual Domínguez,['amusedSwift7'],34,Arquitectura,6,D,16
256,Custodia Pazos Julián,['trustingHyena8'],60,Psicología,6,D,36
257,Román Márquez Valenciano,['puzzledTuna5'],39,Agronomía,1,A,33
258,Ariel Hurtado Reig,['wakefulCrackers1'],46,Ciencias Económicas,1,A,19
259,Che del Gonzalo,['emptyOrange7'],7,Ciencias de la Educación,5,B,38
260,Maxi del Murcia,['jubilantCrane6'],57,Arquitectura,6,C,17
261,Antonia Peral Rodriguez,['mercifulCur6'],11,Arquitectura,4,D,34
262,Nuria Bernal Manzanares,['solemnBurritos5'],66,Matemática,4,B,32
263,Malena Catalán-Noguera,['crushedPaella4'],7,Psicología,6,D,41
264,Eladio Ramírez Bernal,['insecureSeahorse9'],56,Ciencias de la Educación,2,A,23
265,Ascensión Tejera Benítez,['enragedDotterel8'],37,Agronomía,3,B,39
266,Ciriaco Téllez,['thrilledFish9'],12,Humanidades,5,C,35
267,Yago Lluch Tur,['morbidWasp3'],42,Arquitectura,1,A,23
268,Aristides Montero Porras,['giddyOwl4'],20,Filosofía,5,B,20
269,Prudencio de Rius,['somberTuna2'],4,Ciencias Exactas,3,B,27
270,Amarilis Raya-Royo,['gleefulStork8'],40,Psicología,1,B,21
271,Cleto Bárcena Escrivá,['crushedTruffle3'],59,Agronomía,2,D,32
272,Samu Castells Villaverde,['solemnSardines3'],15,Educación Física,3,D,43
273,Dominga Rios Pinilla,['insecureLion1'],28,Matemática,5,D,44
274,Cándida Mora,['ferventLion3'],83,Agronomía,1,C,22
275,Raimundo Pino Bernad,['eagerRuffs4'],31,Agronomía,6,B,27
276,Prudencio Falcón Luna,['cheerfulOcelot1'],2,Ingeniería,6,D,26
277,Oriana Carmona Bermejo,['chicCaviar7'],20,Química,6,B,31
278,Bernarda Pozo-Fuente,['wornoutOil3'],90,Información,1,B,48
279,Manuel Fernandez,['superiorThrushe7'],53,Medicina,6,A,24
280,Luis Ángel Arias Roselló,['pleasedSausage9'],12,Diseño,5,D,44
281,Loreto Cid Cordero,['annoyedDove0'],74,Ciencias de la Educación,4,D,31
282,Crescencia de Agudo,['alertLemur0'],78,Ingeniería,1,C,25
283,Rosalía Leon-Polo,['lazyAbalone0'],20,Matemática,5,C,39
284,Eutropio de Riera,['finickyHawk7'],20,Odontología,2,D,26
285,Felisa Moll-Roca,['worriedCrane3'],22,Información,4,C,47
286,Victoriano Rueda Berrocal,['fondPoultry3'],31,Ciencias de la Educación,1,D,20
287,Pánfilo Arnal-Castañeda,['aloofTuna9'],62,Humanidades,2,D,32
288,Che Amores Fortuny,['contentGarlic5'],88,Información,5,A,28
289,Leonel Díaz Segura,['ecstaticBaboon4'],29,Ciencias de la Educación,2,A,28
290,Prudencio Román,['obsessedSardines0'],6,Diseño,6,D,31
291,Nacio Pizarro,['excludedBobolink4'],75,Ciencias de la Educación,6,A,36
292,Haydée Soto Pereira,['decimalLeopard4'],19,Ciencias Físicas y Matemáticas,6,A,49
293,Maristela Piñol Osorio,['sadMacaw6'],78,Filosofía,3,D,16
294,Cipriano Angulo-Morillo,['dopeyWidgeon9'],55,Derecho,2,C,20
295,Saturnina de Cánovas,['wingedCockatoo2'],89,Derecho,3,D,26
296,Modesta Moll Aguilera,['exactingGelding1'],21,Información,4,C,43
297,Ernesto Humberto Montesinos Piquer,['somberJaguar6'],68,Información,5,B,16
298,Alexandra Cantón Rios,['unhappyPonie5'],37,Humanidades,3,D,35
299,Nico Vaquero Palacios,['sincereOrange5'],31,Ciencias de la Salud,3,C,48
300,Encarnacion de Ramirez,['humorousPup9'],69,Odontología,6,C,45
301,Lourdes Martorell Barros,['hushedSeafowl6'],54,Humanidades,1,A,41
302,Espiridión Carbajo-Piquer,['affectedGnu4'],73,Información,2,D,44
303,Soledad Pinilla,['hushedBagels4'],42,Veterinaria,1,D,31
304,Fulgencio Escudero Pacheco,['obsessedFlamingo7'],10,Medicina,5,D,38
305,Constanza Llobet Viana,['cautiousHoopoe9'],81,Ciencias Económicas,3,C,30
306,Adora Garriga Armas,['pleasedChough0'],41,Matemática,2,D,38
307,Clarisa Varela,['euphoricRaisins9'],45,Comunicación,4,A,31
308,Bibiana Dorita Leon Barranco,['annoyedSeahorse6'],22,Veterinaria,3,A,29
309,Marcelino Bastida Monreal,['humorousPoultry1'],81,Comunicación,5,C,34
310,Cayetano Cárdenas-Bilbao,['hushedCur0'],78,Odontología,4,B,33
311,Rosaura del Figueroa,['shamefulHare4'],71,Ciencias Económicas,4,C,18
312,Cruz Acosta Soto,['sugaryTortoise6'],28,Información,6,D,35
313,Vasco Valls-Sierra,['lazyBuck1'],75,Química,3,C,32
314,Teobaldo Patricio Ortega Expósito,['trustingSnipe3'],40,Ciencias de la Salud,5,B,44
315,Ruy Aguilar-Casal,['euphoricDotterel6'],53,Agronomía,5,C,43
316,Severino Sola Manjón,['worldlyGatorade5'],20,Química,5,C,18
317,Mayte Arévalo-Colom,['peacefulZebra5'],25,Química,5,B,27
318,Yolanda Ureña Falcón,['peskyIguana1'],34,Educación Física,2,D,37
319,Marisa Sebastián Cánovas,['spiritedBobolink0'],3,Matemática,5,B,27
320,Rufina de Matas,['tautCockatoo2'],45,Humanidades,4,B,36
321,Guadalupe Salcedo Mariño,['sheepishThrush1'],69,Educación Física,2,A,20
322,Salud Marquez Iborra,['gutturalCrane7'],37,Filosofía,3,B,20
323,Gaspar Camps Peñas,['stressedLeopard1'],26,Ciencias de la Educación,1,D,32
324,Sabas Manu Vidal Tomas,['murkySalami1'],15,Ingeniería,3,A,23
325,Cirino Uribe-Anaya,['jealousOatmeal1'],89,Ciencias Económicas,5,A,42
326,Pancho Vila Sola,['cockyHawk3'],45,Odontología,5,B,22
327,Sandalio Goicoechea Vall,['lovesickThrushe7'],20,Comunicación,2,A,49
328,Lorena Sarmiento Villalba,['pluckyCoati9'],12,Química,1,B,21
329,Herberto Royo Recio,['grudgingEggs2'],42,Matemática,5,C,33
330,Esther Colom Lara,['jumpyPup7'],79,Arquitectura,4,B,45
331,Mar Palomo,['pacifiedSheep5'],77,Ciencias Económicas,4,B,47
332,Alcides de Luque,['needyChowder3'],25,Matemática,2,B,39
333,Mamen Roma Sancho,['abjectLizard4'],83,Odontología,3,D,31
334,Albano Isern,['betrayedGranola7'],5,Psicología,6,D,33
335,Ángel Aguilera Azorin,['vengefulEggs9'],43,Matemática,4,D,31
336,Flora Cloe Perez Oliveras,['ardentSnipe8'],72,Veterinaria,4,C,48
337,José Flores Valentín,['pacifiedPudding8'],8,Ciencias de la Educación,5,D,39
338,Marciano Esparza Reyes,['boastfulPolenta7'],79,Veterinaria,6,B,35
339,Reina Téllez,['peacefulStork1'],51,Humanidades,3,D,32
340,Andrea Cerro Villa,['peacefulOryx9'],11,Arquitectura,3,C,26
341,Edelmira del Canals,['trustingCoconut0'],78,Arquitectura,2,A,30
