idEvento,nombre,descripcion,fechaEvento,fechaCreacion,idCreador
42,Fiesta sorpresa de Maricela Aznar Saez,,2022-02-15,,11932
43,Cumpleaños de Oriana Sandoval Ayala,,2022-10-16,,7371
44,Cumpleaños de Samuel Piquer Piñol,,2021-11-26,,3180
45,Cumpleaños de Horacio Fabregat Crespi,,2023-01-10,,10805
46,Despedida de Severino Hermenegildo Gomez Laguna,,2021-10-13,,1577
47,Cumpleaños de Judith Pavón Calzada,,2022-07-31,,4842
48,Despedida de Irene Colomer Gordillo,,2021-12-23,,10673
49,Poniencia de Héctor Torrijos Cepeda,,2022-07-29,,1433
50,Jubilación de Eligio Aguilera Sotelo,,2022-07-16,,8918
51,Poniencia de Ezequiel Roldán Izaguirre,,2021-07-24,,5590
52,Fiesta sorpresa de Paola del Mateo,,2023-06-26,,576
53,Fiesta en casa de Sara Perales Bertrán,,2022-06-20,,10599
54,Fiesta sorpresa de Eva María Garriga Acevedo,,2023-01-01,,8656
55,Fiesta sorpresa de Fabricio Dimas Cerdá Paniagua,,2022-03-09,,7134
56,Fiesta sorpresa de Raimundo Vilanova Reyes,,2022-04-16,,8079
57,Cumpleaños de Vito de Benito,,2023-02-11,,974
58,Fiesta en casa de Camila del Oliva,,2022-02-06,,3054
59,Poniencia de Eusebia Pou Belda,,2022-07-29,,9752
60,Poniencia de Marta Fernández Alberdi,,2023-01-03,,8367
61,Cumpleaños de Lilia Terrón Buendía,,2021-09-08,,8332
62,Jubilación de Aureliano Fernandez,,2022-06-08,,9333
63,Jubilación de Ibán Baena,,2023-01-14,,3828
64,Fiesta sorpresa de Mohamed Vera Arnaiz,,2022-03-07,,9733
65,Despedida de Edelmira del Gras,,2022-01-02,,9213
66,Jubilación de Feliciana Valentín-Quirós,,2022-10-04,,4504
67,Poniencia de Jeremías Linares,,2022-10-22,,11876
68,Fiesta en casa de María Belén Ramis Barriga,,2022-11-21,,4447
69,Poniencia de Reyes del Lluch,,2022-12-06,,7090
70,Fiesta en casa de Guadalupe Espejo Arnau,,2022-10-12,,1056
71,Jubilación de Concepción Iriarte Sainz,,2022-02-05,,4136
72,Fiesta sorpresa de Modesto Uriarte Corral,,2021-08-20,,6448
73,Jubilación de Baudelio Osorio Giner,,2022-05-28,,3021
74,Cumpleaños de Vicente Amo Bayo,,2023-04-26,,4919
75,Fiesta sorpresa de Cristian Murcia Rosales,,2023-03-13,,7977
76,Fiesta sorpresa de Juan Luis Revilla Tomé,,2022-06-30,,5836
77,Cumpleaños de Francisco Jose Mascaró Cantón,,2021-11-10,,6691
78,Cumpleaños de Graciela Montero,,2022-06-23,,9815
79,Fiesta sorpresa de Concha Zapata Patiño,,2021-12-15,,3979
80,Fiesta sorpresa de Antonio Giner,,2023-06-25,,8852
81,Poniencia de Julieta Díaz Cáceres,,2022-06-08,,447
82,Jubilación de Abilio de Gutierrez,,2022-02-06,,6798
83,Cumpleaños de Joaquín Garzón Torre,,2022-01-07,,6
84,Cumpleaños de Liliana Gras Perales,,2021-12-10,,10164
85,Poniencia de Adrián Rocha-Correa,,2022-02-11,,28
86,Despedida de Yésica Cantón Mercader,,2022-09-23,,7968
87,Fiesta sorpresa de Ibán Colomer Oller,,2023-06-26,,105
88,Jubilación de Odalys Chaves Maldonado,,2023-02-09,,7605
89,Cumpleaños de Griselda Casares,,2023-04-13,,4543
90,Jubilación de Vito del Gimeno,,2022-11-11,,3519
91,Jubilación de Juan Bautista Ortuño Figuerola,,2022-03-31,,4403
92,Fiesta sorpresa de Arcelia Marquez Almeida,,2021-08-20,,9901
93,Fiesta sorpresa de Fortunata Marcos-Talavera,,2022-03-07,,3629
94,Fiesta sorpresa de Pascual del Calleja,,2022-07-06,,3822
95,Cumpleaños de César Sola Sanz,,2023-06-02,,5661
96,Fiesta en casa de Bernardino Peiró,,2021-10-04,,2463
97,Fiesta sorpresa de Teobaldo del Navas,,2022-09-20,,1070
98,Jubilación de Roxana Izaguirre Quirós,,2023-01-26,,11157
99,Cumpleaños de Irene Taboada Valbuena,,2022-10-06,,348
100,Jubilación de Miguel Ángel Viñas,,2022-07-05,,10911
101,Despedida de Carmen Morell Ariño,,2022-07-26,,2316
102,Jubilación de Isaías Benet Gomila,,2023-04-30,,11929
103,Poniencia de Maite Mendizábal Cuadrado,,2022-07-12,,8058
104,Fiesta sorpresa de Catalina Abascal Vargas,,2021-12-02,,41
105,Poniencia de Jesús Corral,,2022-01-15,,6890
106,Cumpleaños de María Fernanda Rosell Ródenas,,2023-02-20,,4566
107,Fiesta en casa de Fabiola Garcia Machado,,2022-01-02,,5695
108,Fiesta en casa de Cecilia Manrique Durán,,2022-10-05,,1806
109,Jubilación de Ale Pla Royo,,2023-07-05,,6739
110,Cumpleaños de Marisa Mireia Acosta Alcalá,,2022-10-29,,4027
111,Fiesta sorpresa de Heliodoro Abellán Arnau,,2023-04-17,,8052
112,Fiesta en casa de Rebeca Guillen Mena,,2022-11-09,,10800
113,Cumpleaños de Hipólito Artigas Castejón,,2023-01-25,,6844
114,Cumpleaños de Mario Iñiguez Sainz,,2021-12-07,,2644
115,Jubilación de Aníbal de Querol,,2022-11-30,,8726
116,Jubilación de Brígida Valero Campillo,,2022-06-12,,3187
117,Fiesta sorpresa de Valero Bas Vigil,,2021-11-10,,2259
118,Despedida de Bruno Luque Reguera,,2021-10-10,,3656
119,Fiesta sorpresa de Coral Corominas Carpio,,2022-07-15,,6481
120,Cumpleaños de Amando Florencio Arroyo Pedrosa,,2021-07-29,,808
121,Fiesta sorpresa de Juan José Molina Seguí,,2023-06-24,,6852
122,Despedida de Dorita Vázquez Llanos,,2022-05-24,,1454
123,Fiesta en casa de Feliciano Téllez Franch,,2022-03-17,,2868
124,Jubilación de Che Cornejo Franch,,2021-08-25,,6864
125,Despedida de Pepe de Cortés,,2023-01-30,,5695
126,Poniencia de Cintia Dominguez Briones,,2021-12-21,,2231
127,Despedida de Jessica Mateos,,2022-10-10,,8145
128,Fiesta sorpresa de Aitor del Moraleda,,2022-03-31,,1322
129,Fiesta sorpresa de Viviana Egea-Calvo,,2021-11-19,,5749
130,Cumpleaños de Azahar Castellanos Rivera,,2022-07-26,,6844
131,Fiesta sorpresa de Juan Manuel Estevez-Borrás,,2023-02-09,,2892
132,Cumpleaños de Verónica Valle Laguna,,2022-01-07,,8327
133,Poniencia de Zaira de Uribe,,2023-03-03,,6474
134,Fiesta en casa de Jerónimo Reig Iñiguez,,2023-01-09,,3687
135,Fiesta en casa de Apolonia Lobo Armengol,,2022-04-02,,4700
136,Poniencia de Oriana Santamaría Cal,,2022-11-03,,7385
137,Fiesta sorpresa de Victoria Galan Miró,,2022-02-12,,5067
138,Jubilación de Armando Balaguer Alberdi,,2023-02-04,,2631
139,Fiesta en casa de Bernardita Llobet Frutos,,2023-07-23,,8324
140,Despedida de Jesusa Osorio Juliá,,2022-07-20,,6498
141,Cumpleaños de Manola Eva Camps Ramirez,,2021-11-02,,6557
142,Despedida de Macarena Goicoechea Beltrán,,2021-09-19,,8358
143,Fiesta en casa de Paula Mendoza Trujillo,,2022-12-11,,6868
144,Cumpleaños de Américo Esteve Ruano,,2022-05-07,,9824
145,Fiesta en casa de Brunilda Gallo Arnal,,2023-06-21,,11419
146,Jubilación de Roberta Angulo-Carpio,,2022-02-06,,4935
147,Jubilación de Joaquina Ferrera Tolosa,,2022-07-16,,7433
148,Fiesta sorpresa de Xiomara Águila-Benitez,,2022-04-03,,7567
149,Jubilación de Juliana Benítez Pino,,2023-07-07,,9156
150,Fiesta sorpresa de Amaro Sarmiento Carballo,,2022-02-25,,3775
151,Jubilación de María Del Carmen Muñoz Ponce,,2022-03-20,,5172
152,Fiesta en casa de Amada Sanabria Bellido,,2021-09-18,,4382
153,Fiesta sorpresa de Águeda Alcántara Perales,,2022-07-23,,11108
154,Fiesta sorpresa de María Blanes Alba,,2023-01-16,,2906
155,Cumpleaños de Gisela Fajardo Villalba,,2022-12-31,,4411
156,Jubilación de Amelia Donaire-Mosquera,,2021-07-28,,900
157,Poniencia de Noelia Inmaculada Fajardo Camino,,2022-12-13,,4988
158,Fiesta sorpresa de Trinidad Patiño Montalbán,,2022-04-19,,8273
159,Poniencia de Juan Bautista Esteban Urrutia,,2023-07-20,,6568
160,Jubilación de Maximiliano Mur Planas,,2022-06-23,,3069
161,Fiesta en casa de Damián Acevedo Montaña,,2021-11-09,,9496
162,Cumpleaños de Timoteo de Redondo,,2022-01-15,,1295
163,Poniencia de Calisto Tamayo Real,,2021-10-22,,2034
164,Fiesta en casa de Azahara Bautista Nicolás,,2021-11-22,,1526
165,Fiesta en casa de Jose Angel Pareja Aguiló,,2023-04-15,,3602
166,Cumpleaños de Ximena Ramírez Perera,,2022-02-21,,10093
167,Fiesta en casa de Federico Gisbert Cabanillas,,2022-11-16,,7083
168,Cumpleaños de Alejandro Miranda,,2022-09-04,,9295
169,Cumpleaños de Noé Almansa-Vargas,,2022-04-07,,10935
170,Fiesta sorpresa de Eligio Bru Solana,,2021-12-24,,4719
171,Fiesta sorpresa de Luciana Simó Roldan,,2023-02-02,,6264
172,Fiesta sorpresa de Rómulo Otero-Luque,,2023-01-19,,10551
173,Cumpleaños de Viviana Mosquera,,2021-11-06,,160
174,Cumpleaños de Sarita Carreño Lopez,,2022-03-19,,4039
175,Fiesta en casa de Macarena Alcolea Gámez,,2022-12-01,,10570
176,Cumpleaños de Leire Orozco-Pallarès,,2023-05-02,,9904
177,Jubilación de Valerio Abascal,,2022-08-07,,186
178,Cumpleaños de Agustina Ferrándiz Montserrat,,2023-05-19,,7488
179,Cumpleaños de Esther Pastor,,2023-05-26,,4869
180,Fiesta en casa de Roque Agullo Conesa,,2022-12-12,,5618
181,Fiesta en casa de Maite Gomila,,2022-08-13,,1885
182,Cumpleaños de Javi Navarro Tolosa,,2021-12-25,,6607
183,Fiesta sorpresa de Gabino Cánovas Huertas,,2023-04-17,,6086
184,Despedida de Chucho Salom-Carranza,,2023-04-24,,11484
185,Despedida de Selena Morante Palau,,2023-05-07,,972
186,Cumpleaños de Edu Rovira Camacho,,2021-12-01,,2260
187,Despedida de Atilio Acuña,,2022-01-24,,6016
188,Fiesta sorpresa de Luciano Abad Ayala,,2021-08-27,,10280
189,Cumpleaños de Emiliana Frías Galán,,2021-08-29,,8820
190,Fiesta en casa de Sandra Ávila Narváez,,2022-04-22,,5748
191,Cumpleaños de Bautista Alegre Mas,,2022-01-21,,9391
192,Jubilación de Nidia Cabo Vara,,2022-03-08,,5958
193,Jubilación de Venceslás Ferreras-Heras,,2022-01-14,,5485
194,Fiesta en casa de Andrés Montalbán Castro,,2022-05-08,,3833
195,Cumpleaños de Josué Gabaldón Reyes,,2022-06-10,,10796
196,Fiesta en casa de Francisco Javier Sedano Garcés,,2021-12-16,,1755
197,Fiesta en casa de Eliana Montserrat Cerdá,,2023-04-11,,3562
198,Fiesta en casa de Juan José Talavera Villalonga,,2022-05-20,,11186
199,Fiesta en casa de Noemí Sobrino Yuste,,2021-12-23,,7409
200,Botellón de Universidad de Extremadura,,2022-02-16,,7584
201,Botellón de Universidad Autónoma de Madrid,,2023-06-11,,2579
202,Talk and pizzas en Universidad de Deusto,,2023-06-17,,378
203,Firma de libros en Universidad Fernando Pessoa-Canarias,,2022-03-02,,3436
204,Talk and pizzas en Universidad Ramon Llull,,2021-08-01,,7785
205,Talk and pizzas en Universidad Antonio de Nebrija,,2023-05-19,,8920
206,Expo en Universidad de Gerona,,2022-10-19,,4629
207,"Botellón de Universidad de Diseño, Innovación y Tecnología",,2023-01-20,,3348
208,Firma de libros en Universidad CEU San Pablo,,2022-01-16,,10351
209,Primer día clases Universidad de Valladolid,,2022-09-21,,8862
210,Expo en Universidad Complutense de Madrid,,2022-01-03,,11948
211,Botellón de Universidad Internacional de Valencia,,2022-03-29,,3402
212,Firma de libros en Universidad de Málaga,,2021-11-03,,6048
213,Firma de libros en Universidad Camilo José Cela,,2021-11-13,,3288
214,Primer día clases Universidad Autónoma de Barcelona,,2021-12-29,,3088
215,Talk and pizzas en Universidad de Oviedo,,2021-08-03,,646
216,Talk and pizzas en Universidad Pompeu Fabra,,2021-08-03,,4223
217,"Expo en Universidad de Diseño, Innovación y Tecnología",,2023-01-21,,3495
218,Primer día clases Universidad Católica Santa Teresa de Jesús de Ávila,,2022-08-14,,3547
219,Talk and pizzas en Universidad Politécnica de Cataluña,,2021-10-05,,7252
220,Botellón de Universidad Nacional de Educación a Distancia,,2023-04-09,,10195
221,Firma de libros en Universidad Intercontinental de la Empresa,,2021-11-11,,815
222,Talk and pizzas en Universidad de Murcia,,2023-06-06,,9388
223,Botellón de Universidad de Valencia,,2022-01-10,,4981
224,Expo en Universidad Loyola Andalucía,,2023-06-07,,8654
225,Firma de libros en Universidad Internacional de La Rioja,,2022-09-27,,11687
226,Primer día clases Universidad Europea de Valencia,,2023-02-14,,5930
227,Primer día clases Universidad San Jorge,,2022-10-13,,9259
228,Expo en Universidad Internacional de La Rioja,,2022-12-16,,10365
229,Talk and pizzas en Universidad de Córdoba,,2022-11-06,,8872
230,Firma de libros en Universidad de Barcelona,,2023-07-15,,92
231,Firma de libros en Universidad Complutense de Madrid,,2022-09-15,,9395
232,Talk and pizzas en Universidad Pompeu Fabra,,2022-09-26,,399
233,Botellón de Universidad de Zaragoza,,2021-10-22,,6622
234,Botellón de Universidad de León,,2022-12-05,,4967
235,Botellón de Universidad de Cantabria,,2022-01-03,,4202
236,Botellón de Universidad CEU San Pablo,,2023-04-23,,5046
237,Botellón de Universidad Internacional de La Rioja,,2023-02-23,,1878
238,Primer día clases Universidad de Valladolid,,2022-10-09,,5004
239,Firma de libros en Universidad Complutense de Madrid,,2022-03-14,,288
240,Botellón de Universidad Fernando III,,2023-03-13,,3167
241,Expo en Universidad Politécnica de Madrid,,2022-05-23,,4376
242,Expo en Universidad Intercontinental de la Empresa,,2023-07-12,,11342
243,Expo en Universidad Internacional de Valencia,,2022-08-24,,5454
244,Botellón de Universidad Católica San Antonio,,2023-06-11,,11398
245,Primer día clases Universidad Loyola Andalucía,,2022-09-13,,6804
246,Primer día clases Universidad Autónoma de Madrid,,2022-09-10,,8335
247,Expo en Universidad Miguel Hernández de Elche,,2022-04-15,,8402
248,Expo en Universidad Internacional de Valencia,,2023-01-08,,9720
249,Botellón de Universidad de Cantabria,,2023-06-22,,8325
250,Expo en Universidad Alfonso X el Sabio,,2022-10-24,,4703
251,Botellón de Universidad de Cantabria,,2022-05-07,,624
252,Firma de libros en Universidad de Almería,,2022-06-27,,5985
253,Talk and pizzas en Universidad de Castilla-La Mancha,,2022-11-07,,5447
254,Botellón de Universidad Europea de Valencia,,2023-01-02,,9364
255,Botellón de Universidad Fernando III,,2023-01-25,,7353
256,Primer día clases Universidad San Jorge,,2021-08-07,,6796
257,Firma de libros en Universidad CEU Cardenal Herrera,,2022-03-22,,4497
258,"Expo en Universidad de Diseño, Innovación y Tecnología",,2023-01-29,,9694
259,Primer día clases Universidad de Extremadura,,2022-07-12,,945
260,Expo en Universidad de La Coruña,,2022-10-12,,5945
261,Botellón de Universidad de Málaga,,2023-06-05,,757
262,Expo en Universidad de Cádiz,,2023-03-31,,8270
263,Firma de libros en Universidad de La Laguna,,2023-01-16,,2554
264,Firma de libros en Universidad de Almería,,2021-11-01,,6138
265,Primer día clases Universidad de Valencia,,2022-08-25,,7001
266,Expo en Universidad Rey Juan Carlos,,2021-10-11,,2835
267,Primer día clases Universidad de Gerona,,2022-12-14,,9468
268,Botellón de Universidad de las Islas Baleares,,2021-11-24,,6267
269,Botellón de Universidad Rovira i Virgili,,2022-03-26,,526
270,Botellón de Universidad Internacional Villanueva,,2021-12-12,,10227
271,Firma de libros en European University Vitoria-Gasteiz,,2021-07-25,,11925
272,Expo en Universidad San Jorge,,2023-03-18,,6979
273,Expo en Universidad Eclesiástica San Dámaso,,2021-08-14,,9918
274,Talk and pizzas en Universidad de Castilla-La Mancha,,2023-02-04,,1456
275,Primer día clases Universidad Rey Juan Carlos,,2023-03-01,,4231
276,Firma de libros en Universidad Politécnica de Cataluña,,2022-11-14,,240
277,Talk and pizzas en Universidad Europea de Valencia,,2021-10-07,,10263
278,Firma de libros en Universidad Autónoma de Barcelona,,2023-04-12,,2121
279,Expo en Universidad Nacional de Educación a Distancia,,2021-08-19,,6327
280,Primer día clases Universidad Internacional de Valencia,,2023-05-30,,3407
281,Primer día clases Universidad Nacional de Educación a Distancia,,2023-02-06,,1539
282,Talk and pizzas en Universidad Internacional Menéndez Pelayo,,2022-09-04,,6798
283,Botellón de Universidad Loyola Andalucía,,2023-07-10,,4072
284,Talk and pizzas en Universidad IE,,2022-02-08,,1897
285,Talk and pizzas en Universidad Politécnica de Cataluña,,2022-04-23,,1400
286,Expo en Universidad Eclesiástica San Dámaso,,2023-04-22,,1659
287,Firma de libros en Universidad Nacional de Educación a Distancia,,2022-03-17,,2293
288,Primer día clases Universidad Alfonso X el Sabio,,2022-01-03,,7663
289,Talk and pizzas en CUNEF Universidad,,2022-03-25,,3709
290,Botellón de Universidad CEU Cardenal Herrera,,2022-02-11,,5756
291,Primer día clases Universidad de Salamanca,,2023-06-26,,397
292,Botellón de Universidad Rovira i Virgili,,2021-10-12,,9839
293,Talk and pizzas en Universidad Europea Miguel de Cervantes,,2023-03-12,,5924
294,Botellón de Universidad Autónoma de Barcelona,,2021-12-09,,6360
295,Primer día clases Universidad Fernando III,,2022-09-20,,524
296,Botellón de Universidad Fernando Pessoa-Canarias,,2022-11-10,,8124
297,Expo en ESIC Universidad,,2023-01-03,,1674
298,Firma de libros en Universidad de Mondragón,,2022-05-06,,10160
299,Firma de libros en Universidad Pablo de Olavide,,2023-03-12,,9960
300,Botellón de Universidad Camilo José Cela,,2023-06-23,,9551
301,Primer día clases Universidad Internacional Isabel I de Castilla,,2023-02-08,,5713
302,Expo en Universidad de Murcia,,2021-08-15,,7609
303,Botellón de Universidad Politécnica de Cataluña,,2023-02-12,,2180
304,Botellón de Universidad del País Vasco,,2023-05-18,,925
305,Talk and pizzas en Universidad Antonio de Nebrija,,2022-07-26,,9607
306,Botellón de Universidad Pontificia de Salamanca,,2023-06-19,,259
307,Expo en Universidad de Alcalá,,2022-06-25,,7916
308,Firma de libros en Universidad Alfonso X el Sabio,,2022-06-24,,11720
309,Firma de libros en Universidad de Alicante,,2022-10-04,,301
310,Talk and pizzas en Universidad de La Coruña,,2022-02-23,,5252
311,Firma de libros en Universidad Rovira i Virgili,,2021-10-25,,4578
312,Talk and pizzas en Universidad Miguel Hernández de Elche,,2023-05-06,,9804
313,Primer día clases Universidad de Salamanca,,2023-05-07,,6195
314,Primer día clases Universidad de Salamanca,,2023-01-15,,6723
315,Primer día clases European University Vitoria-Gasteiz,,2021-10-25,,2185
316,Firma de libros en Universidad de Zaragoza,,2022-06-14,,7058
317,Expo en Universidad de Almería,,2021-08-04,,3813
318,Botellón de Universidad San Jorge,,2022-04-06,,4990
319,Expo en Universidad Pontificia Comillas,,2021-08-08,,11743
320,Expo en Universidad de La Laguna,,2023-01-28,,7718
321,Expo en Universidad Politécnica de Valencia,,2022-06-02,,7385
322,Botellón de Universidad Complutense de Madrid,,2022-12-19,,1434
323,Expo en Universidad Camilo José Cela,,2021-10-02,,2904
324,Botellón de Universidad de Murcia,,2023-04-19,,9654
325,Primer día clases Universidad Internacional de Valencia,,2023-03-13,,2255
326,Primer día clases Universidad Antonio de Nebrija,,2022-10-14,,2209
327,Primer día clases Universidad de Lérida,,2022-10-30,,289
328,Firma de libros en European University Vitoria-Gasteiz,,2021-09-13,,26
329,Expo en Universidad Pontificia de Salamanca,,2022-02-25,,10698
330,Talk and pizzas en Universidad de Córdoba,,2021-10-16,,134
331,Botellón de Universidad de Sevilla,,2023-07-02,,10616
332,Talk and pizzas en Universidad Europea Miguel de Cervantes,,2022-09-16,,479
333,Primer día clases Universidad Ramon Llull,,2022-02-07,,2066
334,Expo en Universidad Politécnica de Valencia,,2023-02-25,,11158
335,Talk and pizzas en Universidad de Vigo,,2023-03-11,,1065
336,Firma de libros en Universidad Antonio de Nebrija,,2022-07-18,,7782
337,Talk and pizzas en Universidad Fernando Pessoa-Canarias,,2022-10-02,,4284
338,Firma de libros en Universidad de La Coruña,,2022-05-30,,9455
339,Primer día clases Universidad Europea del Atlántico,,2023-05-28,,6576
340,Botellón de Universidad Rovira i Virgili,,2021-09-13,,10971
341,Primer día clases Universidad de Granada,,2022-11-02,,60
342,Firma de libros en European University Vitoria-Gasteiz,,2022-09-29,,3832
343,Botellón de Universidad Pablo de Olavide,,2022-05-22,,2483
344,Botellón de Universidad de Mondragón,,2022-12-07,,10265
345,Primer día clases ESIC Universidad,,2021-09-22,,1889
346,Botellón de Universidad de Oviedo,,2022-02-21,,2955
347,Expo en Universidad de Sevilla,,2022-02-10,,7793
348,Primer día clases Universidad Pablo de Olavide,,2023-06-10,,10692
349,Primer día clases Universidad Pontificia Comillas,,2021-12-20,,4390
350,Exposición de la facultad Medicina,,2023-04-12,,9635
351,Certamen de la facultad Ciencias Sociales,,2021-08-14,,1678
352,Exposición de la facultad Educación Física,,2021-09-23,,5713
353,Graduación de Odontología,,2022-08-09,,7111
354,Graduación de Ciencias Sociales,,2023-03-22,,4672
355,Certamen de la facultad Ciencias de la Salud,,2022-07-04,,8667
356,Exposición de la facultad Ingeniería,,2022-06-18,,435
357,Certamen de la facultad Ciencias Exactas,,2021-10-29,,9220
358,Exposición de la facultad Veterinaria,,2023-02-23,,9569
359,Graduación de Agronomía,,2023-02-24,,2911
360,Graduación de Humanidades,,2022-05-19,,9386
361,Certamen de la facultad Ciencias de la Educación,,2022-10-05,,2955
362,Graduación de Ciencias Económicas,,2022-07-17,,7667
363,Exposición de la facultad Información,,2022-01-13,,10806
364,Exposición de la facultad Medicina,,2023-06-16,,303
365,Certamen de la facultad Ciencias de la Salud,,2021-11-18,,3564
366,Certamen de la facultad Ciencias Económicas,,2021-11-11,,8605
367,Graduación de Ciencias Económicas,,2022-10-02,,9131
368,Certamen de la facultad Filosofía,,2023-01-28,,2361
369,Certamen de la facultad Agronomía,,2021-11-07,,7953
370,Exposición de la facultad Arquitectura,,2022-11-03,,10730
371,Exposición de la facultad Ciencias Económicas,,2023-05-09,,1572
372,Exposición de la facultad Psicología,,2022-11-16,,972
373,Graduación de Veterinaria,,2021-12-18,,2160
374,Exposición de la facultad Información,,2023-05-28,,9885
375,Certamen de la facultad Ciencias Económicas,,2021-09-06,,6335
376,Graduación de Ciencias Exactas,,2021-09-12,,11286
377,Graduación de Humanidades,,2021-12-15,,11307
378,Graduación de Ciencias Sociales,,2023-05-14,,11652
379,Certamen de la facultad Educación Física,,2021-12-19,,9125
380,Exposición de la facultad Ciencias de la Salud,,2023-01-30,,1996
381,Certamen de la facultad Ciencias de la Salud,,2023-06-30,,9505
382,Exposición de la facultad Ciencias de la Salud,,2022-10-23,,5152
383,Exposición de la facultad Ciencias Económicas,,2022-12-03,,7043
384,Graduación de Comunicación,,2023-04-30,,4713
385,Graduación de Diseño,,2022-07-14,,9570
386,Exposición de la facultad Agronomía,,2021-08-30,,862
387,Certamen de la facultad Información,,2022-02-18,,6034
388,Certamen de la facultad Veterinaria,,2023-04-01,,11315
389,Exposición de la facultad Ciencias Económicas,,2021-11-18,,11927
390,Certamen de la facultad Ciencias Exactas,,2022-11-14,,887
391,Graduación de Medicina,,2022-07-02,,10854
392,Graduación de Información,,2023-06-07,,3304
393,Certamen de la facultad Ciencias de la Salud,,2022-12-13,,10229
394,Exposición de la facultad Ciencias Físicas y Matemáticas,,2022-02-05,,10024
395,Graduación de Matemática,,2022-04-10,,4698
396,Certamen de la facultad Agronomía,,2023-07-17,,6944
397,Certamen de la facultad Agronomía,,2023-07-20,,904
398,Certamen de la facultad Diseño,,2023-03-13,,5393
399,Certamen de la facultad Educación Física,,2023-02-28,,1539
400,Certamen de la facultad Odontología,,2022-01-29,,926
401,Exposición de la facultad Filosofía,,2023-01-10,,8462
402,Graduación de Humanidades,,2022-12-22,,10295
403,Graduación de Diseño,,2022-11-12,,6243
404,Exposición de la facultad Ciencias Sociales,,2023-05-26,,9060
405,Certamen de la facultad Psicología,,2022-05-11,,9268
406,Exposición de la facultad Psicología,,2023-03-15,,6343
407,Graduación de Veterinaria,,2023-01-03,,4744
408,Exposición de la facultad Ingeniería,,2023-04-20,,4503
409,Graduación de Diseño,,2023-07-18,,10335
410,Graduación de Ciencias Sociales,,2023-02-22,,3372
411,Exposición de la facultad Derecho,,2021-09-30,,10403
412,Certamen de la facultad Ingeniería,,2022-06-26,,1458
413,Certamen de la facultad Filosofía,,2021-10-13,,9580
414,Certamen de la facultad Química,,2021-10-04,,9462
415,Certamen de la facultad Ciencias de la Educación,,2023-06-28,,5370
416,Graduación de Ciencias de la Salud,,2023-03-26,,2950
