nombre,edad,nombre,Universidad
"Gertrudis de Calderón",16,"Universidad San Jorge","Ciencias de la Salud"
"Cristian del Franch",16,"Universidad Católica Santa Teresa de Jesús de Ávila",Psicología
"César de Lozano",17,"Universidad de Vigo",Psicología
"Gustavo Hervia-Berenguer",16,"Universidad de Navarra","Ciencias de la Educación"
"Angelita Agudo Barbero",16,"Universidad de Zaragoza",Psicología
"Isabela Ojeda-Sanabria",17,"Universidad de La Coruña",Química
"Luis Miguel Requena",17,"Universidad de Salamanca","Ciencias Económicas"
"Victoriano Fermín Anguita Cabanillas",17,"Universidad de Vigo",Agronomía
"Tamara Delia Bello Pera",16,"Universidad de Almería","Ciencias Sociales"
"Geraldo Santana Salas",17,"Universidad Eclesiástica San Dámaso","Ciencias Sociales"
"Marc Falcó Vega",16,"Universidad Pablo de Olavide","Ciencias Económicas"
"Susana Merino Calderon",16,"Universidad Internacional Villanueva",Psicología
"Sergio Salcedo Salamanca",17,"Universidad de León",Psicología
"Leandra Macaria Pelayo Oliveras",17,"Universidad Europea Miguel de Cervantes",Química
"Dominga Bayo Mosquera",17,"Universidad de Huelva",Comunicación
"Carlito de Bolaños",16,"Universidad Pública de Navarra",Psicología
"Mariana Ropero Expósito",17,"Universidad Antonio de Nebrija",Ingeniería
"Lina Valls Ripoll",16,"Universidad Politécnica de Valencia",Comunicación
"Silvestre Ayala Bello",16,"Universidad Internacional de Valencia",Odontología
"Emilia del Muñoz",16,"Universidad CEU Cardenal Herrera",Arquitectura
"Eutropio Tomas-Tomas",16,"Universidad de Valladolid",Agronomía
"Virginia de Mínguez",16,"Universidad de las Islas Baleares",Información
"Apolonia del Cuadrado",16,"Universidad Pablo de Olavide",Veterinaria
"Morena Alegre Pino",16,"Universidad Antonio de Nebrija","Ciencias Económicas"
"Ramiro Almazán Cid",16,"Universidad de Alicante",Filosofía
"Isidro Navarro Cabrero",17,"Universidad Ramon Llull",Ingeniería
"Balduino Checa Berenguer",16,"Universidad de La Rioja",Veterinaria
"Lucho Peña-Hernandez",17,"Universidad de Granada",Ingeniería
"Marina Calvet Cortés",16,"Universidad Internacional de la Empresa",Medicina
"Pepito Manzano Alemany",17,"Universidad Politécnica de Valencia","Ciencias de la Salud"
"Nereida Roman Haro",16,"Universidad Internacional Menéndez Pelayo","Ciencias Sociales"
"María Carmen Salcedo Aroca",17,"Universidad Loyola Andalucía",Humanidades
"Camilo Jover Capdevila",17,"Universidad de Oviedo",Humanidades
"Agapito Miranda-Beltran",16,"Universidad de Alicante",Derecho
"Rita Pellicer Salom",17,"Universidad de Extremadura",Matemática
"Santos de Benitez",17,"Universidad Europea Miguel de Cervantes",Filosofía
"Alexandra Carpio Gómez",17,"Universidad de Mondragón",Diseño
"Geraldo Vergara",16,"Universidad Fernando Pessoa-Canarias",Diseño
"Celestino Santiago Ortega",16,"Universidad de Santiago de Compostela",Arquitectura
"Apolinar Fuentes Garriga",16,"Universidad Intercontinental de la Empresa",Comunicación
"Agustina Olivares",17,"Universidad de Salamanca",Derecho
"Isaac Lucas Ayala",16,"Universidad San Jorge",Medicina
"Jacinto Córdoba Santamaria",17,"Universidad de Lérida",Ingeniería
"Ascensión Teodora Fiol Benavente",16,"Universidad IE","Ciencias de la Educación"
"Edelmiro del Barreda",17,"Universidad Rovira i Virgili","Educación Física"
"Victor Manuel Quesada Valencia",17,"Universidad Antonio de Nebrija",Humanidades
"Eufemia del Arranz",16,"Universidad IE",Filosofía
"Alma Lopez Linares",16,"Universidad Pompeu Fabra",Ingeniería
"Blanca de Tomás",16,"Universidad Católica San Antonio","Ciencias Sociales"
"Vito Darío Martí León",16,"Universidad de Sevilla",Derecho
"Julia Navarrete Dalmau",17,"ESIC Universidad","Ciencias Exactas"
"Julia Arenas Ortega",16,"Universidad de Huelva",Comunicación
"Hermenegildo Pombo Luís",16,"Universidad de Jaén",Matemática
"Aurelia Domingo Yáñez",17,"Universidad de Valladolid",Diseño
"Benita Galvez Pastor",17,"Universidad Politécnica de Madrid",Odontología
"Teresa Arcos Tena",17,"Universidad Pablo de Olavide","Ciencias de la Educación"
"Benito Galvez Casals",17,"CUNEF Universidad",Comunicación
"Jose Antonio Burgos Manso",17,"Universidad Pública de Navarra",Información
"Almudena Capdevila Arce",16,"Universidad de Valladolid",Diseño
"Julie Guerra-Alba",16,"Universidad Europea Miguel de Cervantes","Ciencias Sociales"
"María Carmen Beatriz Sandoval Salamanca",17,"Universidad de La Coruña",Veterinaria
"Emilio Ocaña Casals",17,"Universidad de Gerona",Matemática
"Albino de Sanmiguel",16,"CUNEF Universidad",Psicología
"Alejo Ledesma-Verdejo",17,"Universidad de León",Veterinaria
"Maximiliano Franco Tamarit",16,"Universidad de Santiago de Compostela","Ciencias de la Educación"
"Leonel Ferrando Rosselló",16,"Universidad Rey Juan Carlos","Ciencias de la Salud"
"Maxi Naranjo Porta",17,"Universidad Francisco de Vitoria","Ciencias de la Salud"
"Rosa Cuervo Yuste",17,"Universidad de Sevilla",Derecho
"Maristela Morena Gibert Ponce",16,"Universidad de Valladolid","Educación Física"
"Jose Luis Ferrer Falcón",16,"Universidad de Almería",Diseño
"Wilfredo Salvador Cámara",17,"Universidad Loyola Andalucía","Ciencias de la Salud"
"Ricardo Juan Antonio Zorrilla Garrido",17,"Universidad CEU Cardenal Herrera",Humanidades
"Miguela Rey Guzmán",16,"Universidad Carlos III de Madrid",Comunicación
"Leonor Ortuño",17,"Universidad de Santiago de Compostela",Psicología
"Andrea Sanabria",17,"Universidad Pública de Navarra",Información
"Xiomara Jimenez Méndez",17,"Universidad de Alicante",Derecho
"Nélida Graciana Blanch Goñi",17,"Universidad de Gerona",Psicología
"David Viana Ribas",16,"Universidad de Murcia",Arquitectura
"Noé Elías Castellanos",16,"Universidad Loyola Andalucía",Derecho
"Flora Camps Belda",16,"Universidad CEU Cardenal Herrera",Psicología
"Rafael Araujo-Méndez",17,"Universidad Rey Juan Carlos","Educación Física"
"Felicidad Cañizares Fonseca",17,"Universidad de Navarra",Veterinaria
"Guadalupe Gimenez Castejón",16,"Universidad Ramon Llull",Agronomía
"Gema Azahara Mendizábal Badía",17,"Universidad Pontificia Comillas",Comunicación
"Eutimio Ferrández Bayón",17,"Universidad Tecnológica Atlántico-Mediterráneo",Derecho
"Fabiola Santos Sotelo",16,"Universidad de Barcelona",Matemática
"Gerardo Moles Gallo",16,"Universidad de Alcalá",Matemática
"Carolina Vara Perales",16,"Universidad Rey Juan Carlos",Odontología
"Aura Correa González",16,"Universidad Complutense de Madrid",Química
"Simón Cañellas Hoz",17,"Universidad de Cantabria","Ciencias Exactas"
"Lucas Llopis Pi",16,"Universidad de Valencia",Derecho
"Cirino Jerez Rovira",16,"Universidad de Burgos",Agronomía
"Maite Solana",16,"Universidad Católica San Antonio",Humanidades
"Fidel Antúnez",17,"Universidad Católica Santa Teresa de Jesús de Ávila","Ciencias Económicas"
"Evaristo Villalba-Ortuño",17,"Universidad Ramon Llull",Psicología
"Florinda de Ropero",17,"Universidad Loyola Andalucía",Filosofía
"Fito Gil Lloret",17,"Universidad Internacional Menéndez Pelayo",Derecho
"Alexandra Cases Amaya",16,"Universidad de Sevilla",Derecho
"Alejandro Reyes Morán Samper",16,"Universidad Pública de Navarra",Ingeniería
"Aurelio Fiol Juan",16,"Universidad CEU San Pablo","Educación Física"
"Cruz Ródenas Priego",17,"Universidad de Murcia",Diseño
"Che Palomares-Ayllón",17,"Universidad de Burgos",Odontología
"Eduardo Mateo Sarmiento",17,"Universidad de Almería",Filosofía
"Moisés Cortés Cueto",16,"Universidad Loyola Andalucía","Ciencias Económicas"
"Vanesa Adán Carpio",17,"Universidad de Castilla-La Mancha",Agronomía
"Gertrudis Aurora Polo Alfonso",17,"Universidad Abierta de Cataluña","Ciencias Sociales"
"Lope del Cal",16,"Universidad Politécnica de Cartagena",Arquitectura
"Cándida Hervás Puente",17,"Universidad de Cantabria","Educación Física"
"Esmeralda Saldaña Pacheco",17,"Universidad Europea del Atlántico","Ciencias Exactas"
"Adelaida Fuente Castilla",17,"Universidad de Málaga",Veterinaria
"Serafina Leal Granados",17,"Universidad Internacional Menéndez Pelayo","Ciencias de la Salud"
"Bartolomé del Salazar",17,"Universidad de Cantabria",Agronomía
"Toribio Lasa Pastor",17,"Universidad de Sevilla",Ingeniería
"Eufemia Sedano-Enríquez",17,"Universidad de Castilla-La Mancha",Filosofía
"Francisco Bou Cepeda",16,"Universidad Internacional de Valencia",Agronomía
"Edgardo Amigó Landa",17,"Universidad de Gerona",Filosofía
"Juan Luis Calzada Machado",16,"CUNEF Universidad","Ciencias de la Salud"
"Valentina Novoa Arroyo",17,"Universidad Católica Santa Teresa de Jesús de Ávila","Ciencias Económicas"
"Georgina Giner Bejarano",17,"Universidad de Gerona",Comunicación
"Emigdio Noé Roldán Espejo",16,"Universidad San Jorge",Diseño
"Ramón Durán Camino",16,"Universidad Abad Oliva CEU",Diseño
"Fernanda Meléndez",16,"Universidad de Las Palmas de Gran Canaria",Filosofía
"Rafa Cáceres Barral",16,"Universidad de Cádiz",Filosofía
"Casemiro Valverde Ordóñez",17,"CUNEF Universidad",Información
"María Carmen del Bárcena",16,"Universidad Internacional de Andalucía",Medicina
"Morena Fabra Carpio",17,"Universidad Internacional Menéndez Pelayo",Psicología
"Donato Cal Manso",17,"Universidad Abad Oliva CEU",Psicología
"Ángela Carballo Feliu",16,"Universidad de Castilla-La Mancha",Filosofía
"Bernabé del Saavedra",17,"Universidad Tecnológica Atlántico-Mediterráneo",Ingeniería
"Esther Ámbar Villalonga Falcón",17,"Universidad Abierta de Cataluña",Matemática
"Hector Tejedor Pinilla",16,"Universidad Antonio de Nebrija","Ciencias de la Educación"
"Melchor Héctor Viña Galindo",16,"Universidad San Jorge",Derecho
"Josué Salazar-Olivares",17,"Universidad de Málaga","Ciencias Económicas"
"Ceferino Suarez Pérez",16,"Universidad Complutense de Madrid",Arquitectura
"Pastora Salamanca-Ordóñez",16,"Universidad San Jorge","Ciencias Económicas"
"Mar del Barriga",17,"Universidad de Navarra","Ciencias Sociales"
"Félix Ciríaco Pou Morata",16,"Universidad Rovira i Virgili",Psicología
"Rufino Álvarez Morata",16,"Universidad de Alicante","Ciencias de la Educación"
"Gonzalo de Palacios",17,"Universidad de Mondragón",Ingeniería
"Pía Arcelia Cano Hervia",17,"Universidad Internacional de Valencia","Ciencias de la Educación"
"Juanito Galiano",16,"Universidad Internacional Menéndez Pelayo",Odontología
"Seve Pepito Fajardo Alcalde",16,"Universidad Internacional de la Empresa",Arquitectura
"Pepita Pacheco Pineda",16,"Universidad Carlos III de Madrid","Ciencias de la Salud"
"Charo del Galiano",17,"Universidad Internacional de Cataluña","Ciencias Exactas"
"Javi Cortes-Villar",16,"Universidad Jaime I","Ciencias de la Educación"
"Conrado Cueto Pastor",17,"Universidad Pública de Navarra",Psicología
"Gema Cano Dalmau",16,"Universidad Francisco de Vitoria","Ciencias Físicas y Matemáticas"
"Noemí Serrano Miralles",16,"Universidad Nacional de Educación a Distancia","Ciencias de la Salud"
"Alejandro Sanjuan Espejo",17,"Universidad de Salamanca",Arquitectura
"Salomón del Ruiz",17,"Universidad Católica de Valencia San Vicente Mártir",Odontología
"Leonel Cámara Viñas",16,"Universidad de Málaga",Diseño
"Alba Sobrino",17,"Universidad Internacional de La Rioja","Ciencias Económicas"
"Rita Sureda Gordillo",16,"Universidad Internacional de la Empresa",Veterinaria
"Blanca Arranz Elorza",17,"Universidad Miguel Hernández de Elche",Diseño
"Charo Peláez Aznar",16,"Universidad Pontificia Comillas",Química
"Rosalina Arias",16,"Universidad Nacional de Educación a Distancia","Ciencias Físicas y Matemáticas"
"Pía Reig",16,"Universidad de Alcalá",Humanidades
"Ligia del Velázquez",17,"Universidad de Córdoba",Diseño
"Aránzazu Luque-Roselló",17,"Universidad de Zaragoza",Derecho
"Gema Ortiz-Manuel",16,"Universidad Pública de Navarra",Diseño
"María Andrade",16,"Universidad Intercontinental de la Empresa",Comunicación
"Bernardino Ballester Ibañez",16,"Universidad San Jorge",Medicina
"Nereida Posada Vara",17,"Universidad Internacional Isabel I de Castilla",Filosofía
"Soledad Aguirre Diez",17,"Universidad de Extremadura",Derecho
"Mario Seco Cortina",16,"Universidad Eclesiástica San Dámaso",Filosofía
"Elodia Silvia Quintero Reig",17,"Universidad de Valladolid",Comunicación
"Bernardo Carbó Crespo",16,"Universidad de Castilla-La Mancha",Arquitectura
"Adelardo Expósito Ferrández",17,"Universidad Miguel Hernández de Elche",Arquitectura
"Anselma Reguera Armas",17,"Universidad Europea de Madrid","Educación Física"
"Ester Caro Cabrera",16,"Universidad de Vigo","Ciencias Económicas"
"Ezequiel del Bayona",16,"Universidad Carlos III de Madrid",Filosofía
"Ismael Rojas",16,"Universidad de La Laguna","Ciencias Sociales"
"Victorino Aguilera",17,"Universidad de Valencia",Odontología
"Ángel Estrada-Mariño",17,"Universidad CEU San Pablo",Arquitectura
"Olimpia Vicente-Bru",17,"Universidad Politécnica de Cartagena",Humanidades
"Dorita Simó",16,"Universidad de Navarra","Ciencias Sociales"
"Vinicio Pi Carro",17,"Universidad Pablo de Olavide","Ciencias de la Salud"
"Jennifer Galiano Mate",16,"Universidad Abierta de Cataluña",Humanidades
"Susanita Carolina Pozo Polo",17,"Universidad de Deusto",Derecho
"Enrique Pi Ribes",16,"Universidad Politécnica de Madrid",Odontología
"Darío de Martí",16,"Universidad Internacional de la Empresa","Ciencias Económicas"
"Gloria del Amorós",16,"Universidad Autónoma de Madrid","Ciencias Exactas"
"Maximino Salgado Ayuso",16,"Universidad Politécnica de Cartagena","Ciencias de la Educación"
"Jimena Maite Pol Carballo",16,"Universidad de Alicante",Comunicación
"Tito Diaz Peinado",16,"Universidad Pública de Navarra",Medicina
"Belén Llopis Quesada",16,"Universidad Carlos III de Madrid","Ciencias de la Salud"
"Agustina del Rivero",17,"Universidad Intercontinental de la Empresa",Información
"Sandalio Valls Rosales",17,"Universidad de Jaén",Comunicación
"Reyes Vilalta",17,"Universidad de Murcia","Ciencias Físicas y Matemáticas"
"Agustín Boix Dávila",16,"Universidad de Granada",Filosofía
"Darío Daza Clavero",17,"Universidad de Extremadura",Información
"Alejandro Serna",17,"Universidad Pontificia de Salamanca",Veterinaria
"Ascensión Cornejo Carrillo",17,"Universidad de Diseño, Innovación y Tecnología",Comunicación
"José María Laguna Gras",17,"Universidad Internacional de Andalucía",Matemática
"José Antonio Azorin-Pintor",16,"Universidad Eclesiástica San Dámaso","Ciencias Económicas"
"Martin Jordá Figueroa",16,"Universidad Internacional de La Rioja",Matemática
"Quique Tello",17,"Universidad de Burgos",Derecho
"Baltasar Salvà Sans",16,"Universidad de Jaén",Humanidades
"Leyre Milla Boada",16,"Universidad Antonio de Nebrija",Veterinaria
"Dalila Colom-Rozas",16,"CUNEF Universidad",Matemática
"José Manuel de Llopis",17,"Universidad Tecnológica Atlántico-Mediterráneo","Ciencias Físicas y Matemáticas"
"Amaro Muñoz Acosta",16,"Universidad Internacional de La Rioja",Comunicación
"Íngrid Garmendia Paz",16,"Universidad de Barcelona","Ciencias de la Educación"
"Gertrudis Priego Heras",17,"Universidad de Salamanca",Filosofía
"Severiano Parra Prats",16,"Universidad Internacional Villanueva","Ciencias Exactas"
"Baltasar Roman Vargas",17,"Universidad de Vigo",Información
"Anita Díaz Benavente",17,"Universidad Internacional de Valencia",Ingeniería
"Leocadio Juan Serna Benitez",16,"Universidad Politécnica de Madrid",Arquitectura
"Goyo Báez Fabra",16,"Universidad de Huelva","Ciencias Exactas"
"Lidia Expósito Álvaro",17,"Universidad Europea de Canarias","Ciencias Exactas"
"Pablo Plinio Ruano Agudo",16,"Universidad de La Rioja","Ciencias de la Educación"
"Ángela Quesada Duque",17,"Universidad de Vigo",Veterinaria
"Anna Juan Valdés",17,"Universidad Politécnica de Cataluña",Medicina
"Juliana Berrocal Marí",16,"Universidad Internacional de Cataluña",Información
"Che León Menéndez",17,"Universidad Católica San Antonio",Química
"Tecla Serra Izquierdo",17,"Universidad de las Islas Baleares",Veterinaria
"Omar Orozco Caballero",16,"Universidad de Granada",Química
"Eustaquio Olivera-Pulido",17,"Universidad de Vich",Ingeniería
"Bautista del Luque",16,"Universidad Intercontinental de la Empresa",Medicina
"Eli Gimenez Villalobos",16,"Universidad de La Laguna","Ciencias Físicas y Matemáticas"
"Amando de Duque",16,"CUNEF Universidad",Psicología
"Ulises Blazquez Villalobos",17,"Universidad Autónoma de Madrid",Ingeniería
"Inmaculada Amores-Ocaña",17,"ESIC Universidad",Agronomía
"Eusebio Andrés-Baños",16,"Universidad de Gerona","Ciencias Exactas"
"Adolfo Aurelio Muñoz Checa",17,"Universidad Intercontinental de la Empresa",Información
"Mercedes Céspedes Pinto",16,"Universidad Pontificia de Salamanca",Matemática
"Dorotea Royo Fonseca",17,"Universidad de Navarra",Odontología
"Galo Blazquez Marquez",16,"Universidad de Deusto",Veterinaria
"Yago Castañeda Casares",16,"Universidad Ramon Llull","Educación Física"
"Javier Aliaga Palacios",16,"Universidad Alfonso X el Sabio",Veterinaria
"Jose Ramón Maza Hervás",16,"Universidad de Córdoba",Veterinaria
"Manuela Garcia Miranda",17,"Universidad Autónoma de Madrid",Odontología
"Flavio Ramón Escobar",17,"Universidad de Castilla-La Mancha","Ciencias Exactas"
"Marta de Cazorla",16,"Universidad de La Laguna",Derecho
"Gisela Baró Ribera",17,"Universidad Pontificia Comillas",Química
"Eugenia Falcó",16,"Universidad de Mondragón",Agronomía
"Custodio Corral-Peña",16,"Universidad Internacional Villanueva","Ciencias Económicas"
"Alejandra Fernández Acevedo",17,"Universidad Carlos III de Madrid",Química
"María Fernanda Arenas Arribas",16,"Universidad de Oviedo","Ciencias de la Educación"
"Sandalio Carrasco Galiano",17,"Universidad de Alcalá",Química
"Lidia Garriga",16,"Universidad de Las Palmas de Gran Canaria",Filosofía
"Teobaldo Agudo Serra",17,"Universidad Politécnica de Cartagena","Ciencias de la Educación"
"Ileana Verdejo",17,"Universidad de Gerona",Matemática
"Félix Zabaleta Palau",16,"Universidad Antonio de Nebrija",Odontología
"Prudencia Yaiza Gomila Santos",17,"Universidad de Huelva",Agronomía
"Armando Fabregat Martí",17,"Universidad de Córdoba","Ciencias de la Educación"
"Estela Grande Santos",16,"ESIC Universidad",Diseño
"Asunción Arcos Cardona",16,"Universidad de Córdoba","Ciencias Físicas y Matemáticas"
"Victor Somoza-Martinez",16,"Universidad de Córdoba",Filosofía
"Nico Saez Saez",17,"Universidad San Jorge",Psicología
"Roberto Lluch",16,"Universidad Internacional de Andalucía",Comunicación
"Ildefonso Tovar Cepeda",17,"Universidad Nacional de Educación a Distancia",Diseño
"Raquel Real Navas",17,"Universidad Complutense de Madrid","Ciencias Económicas"
"Oriana Fonseca-Alegria",17,"Universidad Pablo de Olavide",Arquitectura
"Valentín Bru Coello",17,"Universidad Fernando III","Ciencias Exactas"
"Priscila Adelia Acero Patiño",16,"Universidad Internacional de La Rioja",Humanidades
"Laura Ana Sofía Tejera Morales",17,"Universidad Loyola Andalucía","Ciencias de la Educación"
"Gisela España Villa",16,"Universidad CEU San Pablo",Medicina
"Gabriela Coronado Pina",16,"Universidad Internacional de Valencia","Ciencias de la Educación"
"Amanda Contreras Rivera",17,"Universidad Intercontinental de la Empresa",Información
"Encarnacion Hierro Castañeda",17,"Universidad de Mondragón",Odontología
"Macaria Goicoechea Calleja",17,"Universidad Internacional de La Rioja",Filosofía
"Rico Dionisio Gonzalo Carbajo",17,"Universidad de las Islas Baleares",Medicina
"Zaida Jódar Santamaria",16,"Universidad Internacional de Valencia","Ciencias Sociales"
"Valeria del Franch",17,"Universidad de Málaga","Ciencias Exactas"
"Melania Prada Seco",17,"Universidad IE",Ingeniería
"Leandro Blanch Varela",17,"Universidad Miguel Hernández de Elche",Agronomía
"Amarilis Cárdenas-Ferrando",16,"Universidad Nacional de Educación a Distancia",Veterinaria
"Vito Rolando Pomares Hervia",16,"CUNEF Universidad",Humanidades
"Tere Porta-Pol",16,"Universidad de Diseño, Innovación y Tecnología","Ciencias Exactas"
"Gastón Gallo Mármol",16,"Universidad de Diseño, Innovación y Tecnología",Medicina
"Victoriano de Abella",16,"Universidad Francisco de Vitoria",Odontología
"Sandra Iriarte Armengol",16,"Universidad Tecnológica Atlántico-Mediterráneo",Veterinaria
"Alejo Armas Sanmiguel",16,"Universidad de Gerona",Psicología
"José Rosa-Pizarro",17,"Universidad CEU San Pablo",Diseño
"Zaira Gómez Oliver",17,"Universidad Politécnica de Cataluña",Medicina
"Rufino Hervia Parra",17,"Universidad Europea de Madrid",Ingeniería
"Melisa Coll Gomez",17,"Universidad de Gerona",Ingeniería
"Segismundo Llobet Ureña",17,"Universidad Rey Juan Carlos",Comunicación
"Domitila Belmonte Galván",17,"Universidad de Alcalá",Matemática
"Eligio Soriano-Pera",16,"Universidad Internacional de Valencia","Ciencias de la Educación"
"Elpidio Hervia Uriarte",16,"Universidad Católica Santa Teresa de Jesús de Ávila",Química
"Valeria Conde Roman",17,"Universidad Internacional Isabel I de Castilla",Veterinaria
"Gervasio del Viana",16,"Universidad de Valladolid",Filosofía
"Georgina Arribas Verdú",17,"Universidad Tecnológica Atlántico-Mediterráneo",Química
"María Belén Gertrudis Bartolomé Salvador",16,"Universidad de Deusto",Veterinaria
"Sancho del Giménez",17,"Universidad Abierta de Cataluña",Matemática
"Socorro Abril Acuña",17,"Universidad IE",Medicina
"Martin Alcalá Morillo",17,"Universidad Internacional de la Empresa","Ciencias Económicas"
"Fortunato Jover",17,"Universidad Católica San Antonio",Odontología
"Tomás Chaparro Llamas",17,"Universidad Europea del Atlántico",Química
"María Belén Carro",17,"Universidad Pública de Navarra",Arquitectura
"Saturnino Aramburu",16,"Universidad Pablo de Olavide",Arquitectura
"Remedios Soler Roig",17,"Universidad de Granada",Medicina
"Micaela Arribas Ramírez",17,"Universidad Católica Santa Teresa de Jesús de Ávila","Ciencias de la Educación"
"José María del Juan",16,"Universidad IE","Ciencias Económicas"
"Curro Simó Fábregas",17,"Universidad Politécnica de Madrid",Química
"Jacobo Ferrer Barbero",16,"Universidad Pablo de Olavide",Ingeniería
"Hernando Oller Tejero",17,"Universidad Politécnica de Valencia",Arquitectura
"Lupe Luna",16,"Universidad Camilo José Cela",Odontología
"Candelas de Clavero",17,"Universidad Católica San Antonio",Veterinaria
"Macario Huerta Bauzà",16,"Universidad Ramon Llull","Ciencias Económicas"
"Paulino Alba",17,"Universidad de Castilla-La Mancha",Química
"Goyo Viña Mena",16,"Universidad de Navarra","Ciencias Sociales"
"Miguel Ángel Alonso Ribera",17,"Universidad de Diseño, Innovación y Tecnología",Veterinaria
"Gabriel Villalonga Garcés",16,"Universidad de Barcelona",Matemática
"Amanda del Vall",17,"Universidad de León",Agronomía
