propuestas,organizador,facultad,nombre
"Echar a Juan Antonio Gisbert Pagès","Pancho Cuéllar-Santamaria","Ciencias Económicas","Universidad CEU Cardenal Herrera"
"Echar a Benigna de Carreño","Nieves Tirado","Ciencias de la Educación","Universidad Intercontinental de la Empresa"
"Echar a Jesusa Cisneros","Delia del Castells",Agronomía,"Universidad de Zaragoza"
"Echar a Carina Ferrández-Lucas","Salvador Hervia Hidalgo","Ciencias Exactas","Universidad Católica Santa Teresa de Jesús de Ávila"
"Echar a Primitiva del Berrocal","Andrés del Pascual","Ciencias Económicas","Universidad Pontificia Comillas"
"Echar a Andrea Bonet Velázquez","Flavio Egea-Lledó",Diseño,"Universidad de Oviedo"
"Echar a Noemí Jordá Guzman","Mauricio Español Melero",Ingeniería,"Universidad de La Coruña"
"Echar a Paulina Ibáñez Linares","Belén Llopis Quesada","Ciencias de la Salud","Universidad Carlos III de Madrid"
"Denunciar a Amaro Ramirez Peralta","Carla Prieto Rocamora","Ciencias Exactas","Universidad de Vigo"
"Quitar el busto de Samuel Quirós Sanz","Isaías Amat-Carballo",Filosofía,"Universidad Abad Oliva CEU"
"Echar a Vanesa Nevado-Sancho","Febe Arroyo Saavedra",Matemática,"Universidad Autónoma de Barcelona"
"Denunciar a Osvaldo Badía Bernad","Flor Vigil Feijoo",Psicología,"Universidad de Jaén"
"Echar a Federico Pérez Cuéllar","Berto Vera",Matemática,"Universidad Internacional Isabel I de Castilla"
"Echar a Tatiana Araujo Arjona","Emigdio Camino Borja",Comunicación,"Universidad Autónoma de Barcelona"
"Echar a Micaela Marcos Sabater","Áurea Liliana Lopez Casanovas","Ciencias Físicas y Matemáticas","Universidad de Cádiz"
"Hablar con Pastor Novoa Abellán","Lino Nuñez-Carbajo","Ciencias Económicas","Universidad Pública de Navarra"
"Denunciar a Encarnita Ledesma Bermudez","Nacho Iglesias Higueras",Ingeniería,"Universidad de Burgos"
"Hablar con Norberto Salazar Aragón","Andrés Felipe Escrivá Sainz","Ciencias de la Educación","Universidad de La Coruña"
"Echar a Gaspar Manuel","Diana de Barriga","Ciencias de la Salud","Universidad de Almería"
"Hablar con Antonio Sierra Ugarte","Carmela Vizcaíno",Filosofía,"Universidad Politécnica de Cartagena"
"Denunciar a Rodolfo Pintor Oliveras","Montserrat Blanca Guardiola Esteve",Química,"Universidad de León"
"Hablar con Manu Sastre Porcel","Petrona Ferrer Burgos","Ciencias Exactas","Universidad de La Laguna"
"Denunciar a Eliseo Ángel Reguera","Dafne Sales Frías",Medicina,"Universidad de Diseño, Innovación y Tecnología"
"Hablar con Guillermo Mate Exposito","Eusebia Espada-Sanabria",Medicina,"Universidad Fernando Pessoa-Canarias"
"Denunciar a Balduino Martinez Cid","Judith García Leiva",Ingeniería,"Universidad Abad Oliva CEU"
"Quitar el busto de Fermín Maza Bautista","Clemente Carbó",Diseño,"Universidad Jaime I"
"Hablar con Matías Galindo Almagro","Cayetano Solís-Tormo",Comunicación,"Universidad de Diseño, Innovación y Tecnología"
"Echar a Sebastian Sierra-Hernández","Joaquina Sobrino León",Arquitectura,"CUNEF Universidad"
"Quitar el busto de Guiomar Aguirre-Folch","Azucena Cortes Miró",Matemática,"Universidad de Sevilla"
"Quitar el busto de Isabel Ribas Moraleda","Almudena Mateo Leiva",Diseño,"Universidad de Mondragón"
"Hablar con Máximo Gabino Ibañez Mena","Jenny del Porta",Comunicación,"Universidad de Valladolid"
"Hablar con José Antonio Andrade Alonso","Reyes de Caparrós","Ciencias Exactas","Universidad de Cantabria"
"Denunciar a Jeremías Caro Mate","Jonatan del Ribes",Matemática,"Universidad de Gerona"
"Denunciar a Inés Neira Tomé","Dolores Olmedo-Carbó","Ciencias Físicas y Matemáticas","Universidad Loyola Andalucía"
"Echar a Luna Vendrell Carbonell","Silvio Bas Montoya",Arquitectura,"Universidad Politécnica de Cartagena"
"Denunciar a Alberto Giner Trillo","Adelia Gertrudis Enríquez Aragón",Matemática,"Universidad Pompeu Fabra"
"Echar a Plácido Criado Mena","Ale de Agustín","Educación Física","Universidad Fernando III"
"Echar a Telmo Elías-Ramirez","Dionisio Hervás Olmedo",Química,"Universidad Europea Miguel de Cervantes"
"Echar a Pablo de Blázquez","Sandra del Estrada","Ciencias Exactas","Universidad Internacional Villanueva"
"Quitar el busto de Amor Quintero Moreno","Ana Sofía Zamorano Contreras","Educación Física","Universidad de Valencia"
"Echar a Jessica Busquets Cal","Alba Piñeiro",Comunicación,"Universidad de Sevilla"
"Hablar con Godofredo Zurita Sáenz","Filomena Velázquez Aller",Psicología,"Universidad CEU Cardenal Herrera"
"Hablar con Rubén Gras Pino","Ale Gargallo Segovia","Ciencias Exactas","Universidad Internacional de la Empresa"
"Hablar con Iker Cañizares Caparrós","Lupe Valdés Mosquera",Humanidades,"Universidad Europea del Atlántico"
"Echar a Arcelia Leire Portero Segarra","María Ángeles Llorente Villar",Diseño,"Universidad de Valencia"
"Echar a Leyre Asensio Alfaro","Esperanza Vilaplana Galiano","Ciencias Físicas y Matemáticas","Universidad de Santiago de Compostela"
"Echar a Tatiana Gisbert Casanovas","Anita Meléndez Ramirez",Humanidades,"Universidad Internacional de Andalucía"
"Quitar el busto de Enrique Merino","Lilia Pelayo Pont",Química,"Universidad Pontificia Comillas"
"Denunciar a Emiliana Elena Carrillo Pozo","Blas Valero Valls","Ciencias Sociales","Universidad Internacional de Valencia"
"Echar a Cayetano Bravo Reguera","Timoteo Lopez Jáuregui",Odontología,"Universidad de Alcalá"
"Denunciar a Maricela Rosa Azorin","Caridad Bernal Pacheco",Filosofía,"Universidad de Navarra"
"Quitar el busto de Emiliana Hoyos Teruel","Íngrid Perelló Baquero","Educación Física","Universidad de Valencia"
"Echar a América Mena Murcia","Elvira Toro Teruel",Veterinaria,"Universidad de León"
"Echar a Abril Piñol Marcos","Juan Antonio Abascal Salmerón",Matemática,"Universidad San Jorge"
"Hablar con Cornelio Conesa Perez","Wilfredo Reig Barbero",Odontología,"Universidad de Murcia"
"Hablar con Mireia del Hoz","Rufina de Jover","Ciencias Físicas y Matemáticas","Universidad Católica San Antonio"
"Quitar el busto de Luciana Parra Ferrero","Cipriano Angulo-Morillo",Derecho,"Universidad de Extremadura"
"Denunciar a Aníbal Pellicer-Durán","Rodrigo Agullo Español",Arquitectura,"Universidad Europea de Valencia"
"Echar a Severo Leonel Benet Rocha","Édgar Narváez Hurtado",Filosofía,"Universidad de Sevilla"
"Denunciar a Eustaquio Casanovas Vara","Óscar Fernández Frías","Ciencias Físicas y Matemáticas","Universidad Europea de Canarias"
"Denunciar a Débora Gómez","Dolores Olmedo-Carbó","Ciencias Físicas y Matemáticas","Universidad Loyola Andalucía"
"Denunciar a Salomé Catalá","Clara Arrieta-Téllez","Ciencias Económicas","Universidad de Sevilla"
"Echar a Reinaldo Quintanilla Cabrero","Celestino Samuel Esparza Robledo","Ciencias Físicas y Matemáticas","Universidad Internacional Isabel I de Castilla"
"Echar a Pía Requena Arjona","Ileana Sabater Anaya",Odontología,"Universidad Politécnica de Cartagena"
"Echar a Odalis Ferrero Fernandez","Sarita Vidal Blázquez",Agronomía,"Universidad de Extremadura"
"Denunciar a Adelia Villa Cózar","Jacobo Galiano Bustamante","Ciencias de la Educación","Universidad de Valencia"
"Denunciar a Paulino Campo Cervera","Ovidio Elorza Bartolomé",Química,"CUNEF Universidad"
"Denunciar a Glauco Valero Escrivá Puente","Aníbal Amorós Mayo",Derecho,"Universidad de Vigo"
"Quitar el busto de Edelmira Jove Maza","Gabriela Goicoechea Mateu",Arquitectura,"Universidad de Murcia"
"Denunciar a Adán Nadal Quesada","Salomé Girona Sotelo","Educación Física","Universidad de Las Palmas de Gran Canaria"
"Denunciar a Alma Ribas Coronado","Ximena Alegria Anglada",Diseño,"Universidad de Mondragón"
"Quitar el busto de Néstor Humberto Mora Cabo","Amílcar Recio Heras","Ciencias de la Educación","Universidad del País Vasco"
"Hablar con Ibán Torrecilla-Fuster","Jose Hernández Soler","Ciencias Sociales","Universidad Carlos III de Madrid"
"Quitar el busto de Salomé del Ricart","Ezequiel Oliva Martín",Derecho,"Universidad de Diseño, Innovación y Tecnología"
"Echar a Teresa del Ródenas","Joaquín Collado Tena",Química,"Universidad Loyola Andalucía"
"Hablar con Pacífica Merche Bayona Jaén","Ruy Corbacho Llorente","Ciencias Físicas y Matemáticas","Universidad de Santiago de Compostela"
"Echar a Gabriela de Pastor","Reina Sabater",Diseño,"Universidad Autónoma de Barcelona"
"Quitar el busto de Olga Dominguez Goñi","Julie Arteaga Caparrós",Derecho,"Universidad de Vigo"
"Denunciar a Régulo Aguilera Julián","Andrés Felipe Caparrós Manzano","Ciencias de la Salud","Universidad Rovira i Virgili"
"Denunciar a Victorino Granados Murillo","Luis Macías Bilbao",Química,"Universidad de Las Palmas de Gran Canaria"
"Hablar con Nazario Costa Arteaga","Hilda Aller-Montalbán","Ciencias de la Educación","Universidad de Navarra"
"Hablar con Miriam Díaz Sarmiento","Josefa Benitez Muro",Veterinaria,"Universidad de Burgos"
"Hablar con Lope Gilberto Sanchez Álamo","Cornelio de Blanch",Odontología,"Universidad Politécnica de Cartagena"
"Hablar con Adalberto Domingo Sarabia","Reyna Florinda Borrego Iglesia",Ingeniería,"Universidad de León"
"Quitar el busto de Yésica Rosenda Buendía Bosch","Chema Alberola",Química,"Universidad Internacional Menéndez Pelayo"
"Quitar el busto de Eleuterio de Rodrigo","Donato Escrivá-Núñez",Diseño,"Universidad Intercontinental de la Empresa"
"Hablar con Anselmo de Ricart","Marianela Flores-Zurita",Información,"Universidad CEU San Pablo"
"Quitar el busto de Amor Vallejo Diez","Carmela Crespi Molins",Agronomía,"Universidad de Santiago de Compostela"
"Echar a Paz Rincón","Joan de Saldaña",Humanidades,"Universidad de las Islas Baleares"
"Denunciar a Fortunato Jove Solana","Arturo Quintanilla-Soler",Agronomía,"Universidad de Salamanca"
"Denunciar a Cebrián Contreras Sarmiento","René Falcó","Ciencias de la Educación","Universidad Internacional de La Rioja"
"Hablar con Leticia Criado Peñalver","Marisa de Peral",Derecho,"Universidad de Las Palmas de Gran Canaria"
"Quitar el busto de Espiridión Elorza","Pilar Mayol Artigas","Ciencias de la Salud","Universidad Rey Juan Carlos"
"Denunciar a Julieta Peñas Meléndez","Melisa Castell Figueras",Arquitectura,"Universidad IE"
"Quitar el busto de Elías Ropero Pedrosa","Román del Mateu",Matemática,"Universidad Internacional Villanueva"
"Hablar con Flor Jesusa Calatayud Manso","Elvira Alba Pelayo Álvarez",Información,"Universidad CEU San Pablo"
"Denunciar a Sara Garmendia Villalba","Urbano del Campos",Agronomía,"Universidad Pompeu Fabra"
"Echar a Nicolás Gil-Alarcón","Estrella Capdevila Jurado","Ciencias Exactas","Universidad Eclesiástica San Dámaso"
"Quitar el busto de Javiera Feliciana Salvador Viña","Eusebia Espada-Sanabria",Medicina,"Universidad Fernando Pessoa-Canarias"
"Denunciar a Hipólito Fuentes Bernal","Adolfo Alba-Cabrero",Química,"Universidad de Lérida"
"Hablar con Malena Toledo Álamo","Leonardo Gras Villalobos",Humanidades,"Universidad de Vigo"
"Hablar con Onofre del Rosa","Matilde Rojas Garcés",Arquitectura,"Universidad Rovira i Virgili"
"Quitar el busto de Lucio Córdoba","Oriana Fonseca-Alegria",Arquitectura,"Universidad Pablo de Olavide"
"Denunciar a Buenaventura Luís Barón Giner","Rebeca de Zaragoza",Información,"Universidad de Deusto"
"Hablar con Leonor Martorell","Claudia Cal Posada",Matemática,"Universidad CEU San Pablo"
"Echar a Aureliano Puente Palomino","Delia Toledo Martín",Diseño,"Universidad Eclesiástica San Dámaso"
"Hablar con Ainoa Vicens Arranz","Tamara Talavera",Odontología,"Universidad Eclesiástica San Dámaso"
"Echar a Renata Carrión Albero","Ruperto de Arnaiz",Derecho,"Universidad de Zaragoza"
"Quitar el busto de Lupe Silvio Benavides Gimeno","Aristides de Amor","Ciencias Físicas y Matemáticas","Universidad de Valencia"
"Quitar el busto de Ciro Pons Silva","Aurelia Granados-Gras","Educación Física","Universidad Pública de Navarra"
"Echar a Renata Bello Córdoba","Alba Chacón Sanmartín",Medicina,"Universidad de Extremadura"
"Echar a Leticia Orozco-Lillo","Emilio Mariño Gimenez","Educación Física","Universidad Fernando Pessoa-Canarias"
"Hablar con Hernando de Aguilera","Mohamed Lopez Acevedo","Ciencias Sociales","Universidad de Sevilla"
"Denunciar a Vidal del Galindo","Jennifer Olivares Anaya",Información,"Universidad CEU San Pablo"
"Denunciar a Rosalinda Roldan Muñoz","Amor Belmonte Alcalde",Química,"Universidad Internacional de Andalucía"
"Denunciar a Pedro Colomer-Cañizares","Angelino Quintanilla","Ciencias Sociales","Universidad de Oviedo"
"Denunciar a Lope Angulo-Montero","Conrado Viñas Canals",Humanidades,"Universidad Ramon Llull"
"Hablar con Lupe Redondo Barrera","Rolando Mohamed Caparrós Agudo",Humanidades,"Universidad de Salamanca"
"Echar a Teodoro Cifuentes Prats","Felicia Colom Ariza","Ciencias Económicas","Universidad Jaime I"
"Hablar con Armida Coca Cabo","Carla Guillén Peña","Ciencias Sociales","Universidad de Santiago de Compostela"
"Quitar el busto de Ruy Galindo Ariza","Bárbara Vila Villegas","Ciencias Físicas y Matemáticas","Universidad de Cádiz"
"Echar a Sarita de Bou","Fidela Abril",Medicina,"Universidad Europea de Madrid"
"Denunciar a Hilda Margarita Valls Bonet","Clotilde Tur Juárez","Ciencias Económicas","Universidad Nacional de Educación a Distancia"
"Hablar con Ulises Ros","Candela Bueno Pascual","Educación Física","Universidad Católica de Valencia San Vicente Mártir"
"Echar a África Moles Codina","Liliana Zoraida Mercader Bou",Odontología,"Universidad Católica de Valencia San Vicente Mártir"
"Quitar el busto de Leoncio Gras Segarra","Lola Ferrán Benítez",Agronomía,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Hablar con Graciana Crespi-Tolosa","Norberto Duilio Iriarte Bas","Ciencias Sociales","Universidad Rey Juan Carlos"
"Quitar el busto de Buenaventura Sabater Calatayud","Melania Villena-Belda",Humanidades,"Universidad de La Laguna"
"Quitar el busto de Humberto Tenorio Castrillo","Bautista Cabrero Roig",Derecho,"Universidad Europea del Atlántico"
"Denunciar a Vicenta Narcisa Ramirez Ballesteros","Iris Plaza-Caballero","Ciencias Sociales","Universidad Católica de Valencia San Vicente Mártir"
"Denunciar a Tomás Gonzalez","Donato Andreu Castellanos","Educación Física","Universidad Abierta de Cataluña"
"Hablar con Leocadio Sevilla Manjón","Carla Salom Mas",Psicología,"Universidad de Murcia"
"Quitar el busto de Berta Casanovas Soria","Clotilde Villanueva Lobo",Derecho,"Universidad San Jorge"
"Hablar con Iván Bayona Luna","Teobaldo Boix Roura","Ciencias de la Educación","Universidad de Lérida"
"Echar a Vidal Bermudez Pons","José Luis Maestre Montero",Filosofía,"Universidad de La Rioja"
"Echar a Amelia Calatayud","Adelia Montero Ribes",Información,"Universidad Complutense de Madrid"
"Echar a Leocadio Alcázar","Graciela Báez Castell",Filosofía,"CUNEF Universidad"
"Denunciar a Georgina Teruel Armas","Julieta Tejedor Espada",Derecho,"Universidad de Barcelona"
"Echar a Héctor Torralba Casals","María Del Carmen Cases Camps","Ciencias Exactas","Universidad CEU Cardenal Herrera"
"Echar a Amado Tapia Asenjo","René Torrijos","Ciencias Sociales","Universidad Politécnica de Cataluña"
"Quitar el busto de África Flavia Mendoza Flores","Benigno Vizcaíno-Noguera","Ciencias Económicas","Universidad Rey Juan Carlos"
"Hablar con Rocío Cáceres","Eduardo Abellán Silva",Derecho,"Universidad de Murcia"
"Echar a Vera del Manso","Basilio Mariano España Contreras",Diseño,"Universidad de Cantabria"
"Hablar con Victor Esteve Escamilla","Balduino Abella Cases",Derecho,"Universidad de Málaga"
"Echar a Alicia Olmo Sanz","Guiomar Vilma Cámara Osorio",Agronomía,"Universidad de León"
"Denunciar a Isabel de Jaume","Benita Balaguer",Comunicación,"Universidad de Valencia"
"Denunciar a Melisa Pascual Ortiz","Georgina Vilar Echevarría",Diseño,"Universidad Rey Juan Carlos"
"Hablar con Elvira Giralt Losada","Prudencio de Caballero",Psicología,"Universidad a Distancia de Madrid"
"Denunciar a Gastón Carlos Pavón","Lorenzo Ibán Acuña Bustos",Odontología,"Universidad de Huelva"
"Echar a Susanita Iglesias Ferrera","Lalo Herrero",Diseño,"Universidad Rovira i Virgili"
"Denunciar a Marisa Heredia","Jose Manuel Urrutia Vázquez",Humanidades,"Universidad de León"
"Echar a Odalys del Maestre","Josep Escobar Roldán",Agronomía,"Universidad de Valencia"
"Hablar con Estrella Castell Lucena","Ricarda Carmona Díez",Veterinaria,"Universidad de Lérida"
"Hablar con Jenny de Farré","Jennifer Galiano Mate",Humanidades,"Universidad Abierta de Cataluña"
"Echar a Estrella Renata Lara Estrada","Eloísa del Gallardo",Odontología,"Universidad Internacional Menéndez Pelayo"
"Hablar con Leonardo de Donaire","Olegario Jaime Alarcón Lozano",Humanidades,"Universidad Politécnica de Cartagena"
"Hablar con Josep Catalá Baños","Flavia Toro Nicolau","Ciencias de la Salud","Universidad de Huelva"
"Quitar el busto de Cintia del Alarcón","Fito Ramirez-Donoso",Humanidades,"Universidad de Burgos"
"Denunciar a Lupe Josefina Verdejo Fuertes","Geraldo Saldaña Soler",Derecho,"Universidad de Deusto"
"Echar a Mamen Figueroa Garriga","Dalila Tena Sobrino",Humanidades,"Universidad Eclesiástica San Dámaso"
"Denunciar a Juan Manuel Olegario Mulet Arjona","Mohamed Baltasar Royo Tejero","Ciencias Físicas y Matemáticas","Universidad Loyola Andalucía"
"Echar a Amancio León Vidal","Josefina Losa Medina",Veterinaria,"Universidad Fernando III"
"Echar a Melchor Nogués","Gerardo Vazquez Ocaña","Ciencias Físicas y Matemáticas","Universidad de Oviedo"
"Quitar el busto de Fito Peiró Haro","Micaela Acero Cardona",Diseño,"Universidad de Vich"
"Denunciar a Dorotea Morata Sevilla","Juan Bautista Solano Exposito","Ciencias Exactas","CUNEF Universidad"
"Quitar el busto de Bernardo Casals Asensio","Alberto de Ortiz",Diseño,"Universidad de Zaragoza"
"Echar a Etelvina Cueto-Arellano","Amor Guardia",Agronomía,"Universidad Carlos III de Madrid"
"Hablar con Tito de Ramón","Trinidad Ruy Galán Rodriguez",Arquitectura,"Universidad Politécnica de Valencia"
"Hablar con Pastor Alcolea Arnau","Lidia Solera Pi","Ciencias de la Educación","Universidad CEU San Pablo"
